ID,UserId,CourseId,Progress,StartDate,Completed
EN0046,EMP261,COR1249,100,2022-01-12,1
EN0047,EMP085,COR1137,23,2022-01-12,0
EN0048,EMP137,COR1245,74,2022-01-12,0
EN0049,EMP076,COR1567,100,2022-01-12,1
EN0050,EMP123,COR1307,43,2022-01-12,0
EN0051,EMP086,COR0389,100,2022-01-12,1
EN0052,EMP173,COR0077,95,2022-01-12,0
EN0053,EMP024,COR1462,100,2022-01-13,1
EN0054,EMP172,COR0993,79,2022-01-13,0
EN0055,EMP257,COR1822,100,2022-01-13,1
EN0056,EMP054,COR1957,30,2022-01-13,0
EN0057,EMP194,COR1055,100,2022-01-13,1
EN0058,EMP052,COR0463,100,2022-01-13,1
EN0059,EMP247,COR1942,21,2022-01-13,0
EN0060,EMP036,COR0647,100,2022-01-14,1
EN0061,EMP281,COR0258,53,2022-01-14,0
EN0062,EMP001,COR0447,100,2022-01-15,1
EN0063,EMP006,COR1110,100,2022-01-15,1
EN0064,EMP251,COR0790,100,2022-01-15,1
EN0065,EMP167,COR1758,100,2022-01-15,1
EN0066,EMP178,COR1396,25,2022-01-15,0
EN0067,EMP122,COR0430,100,2022-01-15,1
EN0068,EMP213,COR1210,25,2022-01-15,0
EN0069,EMP200,COR0748,9,2022-01-16,0
EN0070,EMP133,COR1278,100,2022-01-16,1
EN0071,EMP116,COR1925,100,2022-01-17,1
EN0072,EMP183,COR1587,100,2022-01-17,1
EN0073,EMP251,COR0430,100,2022-01-17,1
EN0074,EMP192,COR0547,100,2022-01-17,1
EN0075,EMP037,COR0574,100,2022-01-17,1
EN0076,EMP001,COR0224,100,2022-01-17,1
EN0077,EMP194,COR1766,100,2022-01-18,1
EN0078,EMP036,COR1286,100,2022-01-18,1
EN0079,EMP083,COR1773,43,2022-01-18,0
EN0080,EMP100,COR0703,29,2022-01-18,0
EN0081,EMP170,COR0805,100,2022-01-18,1
EN0082,EMP141,COR1335,100,2022-01-19,1
EN0083,EMP163,COR0307,100,2022-01-19,1
EN0084,EMP289,COR0529,13,2022-01-19,0
EN0085,EMP138,COR0924,100,2022-01-19,1
EN0086,EMP203,COR1903,17,2022-01-19,0
EN0087,EMP130,COR0200,100,2022-01-19,1
EN0088,EMP297,COR0159,100,2022-01-19,1
EN0089,EMP266,COR1080,100,2022-01-20,1
EN0090,EMP184,COR1713,26,2022-01-20,0
EN0091,EMP216,COR0865,26,2022-01-20,0
EN0092,EMP254,COR0449,100,2022-01-20,1
EN0093,EMP004,COR0226,100,2022-01-21,1
EN0094,EMP173,COR1906,100,2022-01-21,1
EN0095,EMP208,COR0872,93,2022-01-21,0
EN0096,EMP069,COR0484,1,2022-01-22,0
EN0097,EMP269,COR0119,91,2022-01-22,0
EN0098,EMP002,COR1283,9,2022-01-22,0
EN0099,EMP179,COR1199,100,2022-01-22,1
EN0100,EMP194,COR0347,62,2022-01-22,0
EN0101,EMP015,COR0216,100,2022-01-23,1
EN0102,EMP118,COR1287,52,2022-01-23,0
EN0103,EMP219,COR0027,100,2022-01-23,1
EN0104,EMP073,COR1515,100,2022-01-23,1
EN0105,EMP081,COR0779,31,2022-01-23,0
EN0106,EMP080,COR0231,89,2022-01-24,0
EN0107,EMP098,COR1455,100,2022-01-24,1
EN0108,EMP198,COR0679,100,2022-01-24,1
EN0109,EMP106,COR0162,100,2022-01-24,1
EN0110,EMP103,COR0476,80,2022-01-24,0
EN0111,EMP028,COR0058,84,2022-01-24,0
EN0112,EMP196,COR0919,94,2022-01-25,0
EN0113,EMP156,COR1660,100,2022-01-25,1
EN0114,EMP012,COR0722,100,2022-01-25,1
EN0115,EMP015,COR0501,62,2022-01-25,0
EN0116,EMP053,COR1397,47,2022-01-25,0
EN0117,EMP112,COR0709,25,2022-01-25,0
EN0118,EMP259,COR0617,100,2022-01-25,1
EN0119,EMP281,COR0641,8,2022-01-25,0
EN0120,EMP270,COR0874,91,2022-01-26,0
EN0121,EMP264,COR1360,100,2022-01-26,1
EN0122,EMP129,COR1889,25,2022-01-26,0
EN0123,EMP288,COR0141,100,2022-01-26,1
EN0124,EMP093,COR1998,100,2022-01-26,1
EN0125,EMP243,COR1650,100,2022-01-27,1
EN0126,EMP293,COR1401,4,2022-01-27,0
EN0127,EMP217,COR0216,100,2022-01-27,1
EN0128,EMP172,COR1673,100,2022-01-28,1
EN0129,EMP049,COR0252,19,2022-01-28,0
EN0130,EMP113,COR1661,45,2022-01-28,0
EN0131,EMP180,COR1470,65,2022-01-29,0
EN0132,EMP124,COR1758,57,2022-01-29,0
EN0133,EMP047,COR0808,45,2022-01-29,0
EN0134,EMP070,COR0053,100,2022-01-29,1
EN0135,EMP009,COR1535,82,2022-01-29,0
EN0136,EMP211,COR1492,5,2022-01-29,0
EN0137,EMP219,COR0687,100,2022-01-29,1
EN0138,EMP293,COR0375,100,2022-01-30,1
EN0139,EMP233,COR0194,100,2022-01-30,1
EN0140,EMP096,COR1857,36,2022-01-30,0
EN0141,EMP261,COR1270,100,2022-01-30,1
EN0142,EMP252,COR0655,100,2022-01-30,1
EN0143,EMP209,COR1823,100,2022-01-30,1
EN0144,EMP165,COR1156,22,2022-01-30,0
EN0145,EMP012,COR0599,70,2022-01-30,0
EN0146,EMP133,COR1135,2,2022-01-30,0
EN0147,EMP223,COR0568,79,2022-01-31,0
EN0148,EMP009,COR1082,100,2022-01-31,1
EN0149,EMP281,COR0013,100,2022-01-31,1
EN0150,EMP051,COR0306,70,2022-01-31,0
EN0151,EMP080,COR1827,14,2022-01-31,0
EN0152,EMP207,COR1506,100,2022-01-31,1
EN0153,EMP189,COR1534,85,2022-02-01,0
EN0154,EMP173,COR1595,10,2022-02-01,0
EN0155,EMP247,COR1141,100,2022-02-01,1
EN0156,EMP010,COR1015,100,2022-02-02,1
EN0157,EMP152,COR0645,100,2022-02-02,1
EN0158,EMP146,COR0956,100,2022-02-02,1
EN0159,EMP007,COR0377,100,2022-02-02,1
EN0160,EMP088,COR0060,55,2022-02-02,0
EN0161,EMP203,COR0845,100,2022-02-02,1
EN0162,EMP207,COR1006,31,2022-02-02,0
EN0163,EMP183,COR0768,100,2022-02-02,1
EN0164,EMP250,COR0109,100,2022-02-02,1
EN0165,EMP274,COR0401,100,2022-02-02,1
EN0166,EMP046,COR1046,100,2022-02-02,1
EN0167,EMP024,COR0168,100,2022-02-03,1
EN0168,EMP044,COR1456,100,2022-02-03,1
EN0169,EMP036,COR1827,100,2022-02-03,1
EN0170,EMP122,COR1389,51,2022-02-03,0
EN0171,EMP136,COR0245,100,2022-02-04,1
EN0172,EMP280,COR1622,26,2022-02-04,0
EN0173,EMP069,COR0740,94,2022-02-04,0
EN0174,EMP022,COR0013,100,2022-02-05,1
EN0175,EMP199,COR1699,100,2022-02-05,1
EN0176,EMP055,COR1636,18,2022-02-06,0
EN0177,EMP187,COR1981,100,2022-02-06,1
EN0178,EMP046,COR1290,38,2022-02-06,0
EN0179,EMP213,COR0705,27,2022-02-06,0
EN0180,EMP266,COR0010,55,2022-02-06,0
EN0181,EMP219,COR0752,100,2022-02-06,1
EN0182,EMP108,COR0875,35,2022-02-06,0
EN0183,EMP076,COR1343,100,2022-02-07,1
EN0184,EMP024,COR0995,100,2022-02-07,1
EN0185,EMP187,COR1700,100,2022-02-07,1
EN0186,EMP103,COR0338,100,2022-02-07,1
EN0187,EMP078,COR1839,48,2022-02-08,0
EN0188,EMP077,COR1894,72,2022-02-08,0
EN0189,EMP206,COR0444,100,2022-02-08,1
EN0190,EMP234,COR1889,100,2022-02-08,1
EN0191,EMP070,COR1721,100,2022-02-08,1
EN0192,EMP296,COR0882,30,2022-02-08,0
EN0193,EMP104,COR1349,63,2022-02-08,0
EN0194,EMP026,COR0855,93,2022-02-09,0
EN0195,EMP278,COR1320,88,2022-02-09,0
EN0196,EMP256,COR1702,30,2022-02-09,0
EN0197,EMP244,COR0691,100,2022-02-09,1
EN0198,EMP268,COR0797,100,2022-02-09,1
EN0199,EMP049,COR0149,100,2022-02-09,1
EN0200,EMP262,COR0600,100,2022-02-10,1
EN0201,EMP199,COR1801,87,2022-02-10,0
EN0202,EMP024,COR0437,100,2022-02-10,1
EN0203,EMP095,COR0745,100,2022-02-10,1
EN0204,EMP242,COR0622,100,2022-02-11,1
EN0205,EMP199,COR0717,100,2022-02-11,1
EN0206,EMP271,COR0343,100,2022-02-11,1
EN0207,EMP251,COR0031,100,2022-02-12,1
EN0208,EMP098,COR0462,100,2022-02-12,1
EN0209,EMP132,COR0945,100,2022-02-12,1
EN0210,EMP138,COR0833,86,2022-02-13,0
EN0211,EMP129,COR0666,73,2022-02-13,0
EN0212,EMP080,COR0857,100,2022-02-13,1
EN0213,EMP145,COR1699,100,2022-02-13,1
EN0214,EMP030,COR0701,8,2022-02-13,0
EN0215,EMP279,COR1069,12,2022-02-14,0
EN0216,EMP260,COR0827,100,2022-02-14,1
EN0217,EMP204,COR1161,100,2022-02-14,1
EN0218,EMP136,COR0656,36,2022-02-14,0
EN0219,EMP291,COR1064,57,2022-02-14,0
EN0220,EMP169,COR0728,74,2022-02-15,0
EN0221,EMP049,COR1613,100,2022-02-15,1
EN0222,EMP056,COR0500,32,2022-02-15,0
EN0223,EMP007,COR0768,100,2022-02-15,1
EN0224,EMP029,COR1472,84,2022-02-15,0
EN0225,EMP041,COR0962,100,2022-02-15,1
EN0226,EMP236,COR0655,11,2022-02-15,0
EN0227,EMP280,COR0843,100,2022-02-15,1
EN0228,EMP001,COR1236,100,2022-02-15,1
EN0229,EMP042,COR0942,86,2022-02-16,0
EN0230,EMP218,COR0635,100,2022-02-16,1
EN0231,EMP076,COR1277,100,2022-02-16,1
EN0232,EMP090,COR1790,100,2022-02-16,1
EN0233,EMP106,COR1291,100,2022-02-16,1
EN0234,EMP067,COR1754,100,2022-02-16,1
EN0235,EMP257,COR1713,100,2022-02-16,1
EN0236,EMP132,COR1966,32,2022-02-16,0
EN0237,EMP297,COR1837,100,2022-02-17,1
EN0238,EMP049,COR0673,100,2022-02-17,1
EN0239,EMP262,COR1164,100,2022-02-17,1
EN0240,EMP078,COR0170,38,2022-02-17,0
EN0241,EMP290,COR0749,100,2022-02-17,1
EN0242,EMP183,COR1875,43,2022-02-17,0
EN0243,EMP257,COR0401,100,2022-02-17,1
EN0244,EMP256,COR1730,100,2022-02-17,1
EN0245,EMP146,COR1514,100,2022-02-17,1
EN0246,EMP236,COR1030,100,2022-02-17,1
EN0247,EMP145,COR0021,94,2022-02-18,0
EN0248,EMP259,COR0684,100,2022-02-18,1
EN0249,EMP222,COR1489,100,2022-02-18,1
EN0250,EMP210,COR1782,100,2022-02-19,1
EN0251,EMP101,COR1490,100,2022-02-19,1
EN0252,EMP119,COR0606,100,2022-02-19,1
EN0253,EMP256,COR0385,100,2022-02-19,1
EN0254,EMP154,COR1624,88,2022-02-19,0
EN0255,EMP125,COR0913,56,2022-02-19,0
EN0256,EMP137,COR0297,55,2022-02-19,0
EN0257,EMP231,COR1005,100,2022-02-20,1
EN0258,EMP291,COR1192,100,2022-02-20,1
EN0259,EMP255,COR1509,41,2022-02-20,0
EN0260,EMP228,COR0763,100,2022-02-20,1
EN0261,EMP148,COR1737,100,2022-02-20,1
EN0262,EMP101,COR1005,100,2022-02-20,1
EN0263,EMP161,COR0453,100,2022-02-20,1
EN0264,EMP057,COR0632,100,2022-02-21,1
EN0265,EMP162,COR1847,60,2022-02-21,0
EN0266,EMP037,COR0384,100,2022-02-21,1
EN0267,EMP254,COR0703,100,2022-02-21,1
EN0268,EMP090,COR0918,100,2022-02-21,1
EN0269,EMP207,COR1188,50,2022-02-21,0
EN0270,EMP090,COR1421,100,2022-02-21,1
EN0271,EMP208,COR1944,100,2022-02-22,1
EN0272,EMP238,COR0371,100,2022-02-22,1
EN0273,EMP033,COR0881,45,2022-02-22,0
EN0274,EMP021,COR1455,100,2022-02-22,1
EN0275,EMP070,COR1816,100,2022-02-22,1
EN0276,EMP036,COR1563,78,2022-02-23,0
EN0277,EMP199,COR0396,100,2022-02-23,1
EN0278,EMP146,COR0038,13,2022-02-23,0
EN0279,EMP057,COR1895,100,2022-02-24,1
EN0280,EMP219,COR0762,7,2022-02-24,0
EN0281,EMP252,COR1224,12,2022-02-24,0
EN0282,EMP240,COR0547,78,2022-02-24,0
EN0283,EMP163,COR0448,100,2022-02-25,1
EN0284,EMP038,COR1824,17,2022-02-25,0
EN0285,EMP102,COR0858,75,2022-02-25,0
EN0286,EMP194,COR1434,100,2022-02-26,1
EN0287,EMP184,COR0763,37,2022-02-26,0
EN0288,EMP256,COR1313,100,2022-02-26,1
EN0289,EMP060,COR0435,78,2022-02-26,0
EN0290,EMP133,COR0471,100,2022-02-26,1
EN0291,EMP119,COR1558,100,2022-02-27,1
EN0292,EMP219,COR0034,100,2022-02-27,1
EN0293,EMP262,COR1254,100,2022-02-28,1
EN0294,EMP036,COR0812,60,2022-02-28,0
EN0295,EMP293,COR0214,100,2022-02-28,1
EN0296,EMP195,COR0278,100,2022-02-28,1
EN0297,EMP004,COR0715,100,2022-02-28,1
EN0298,EMP290,COR1603,100,2022-02-28,1
EN0299,EMP222,COR0550,40,2022-02-28,0
EN0300,EMP175,COR0656,37,2022-02-28,0
EN0301,EMP057,COR1524,100,2022-02-28,1
EN0302,EMP148,COR1016,41,2022-02-28,0
EN0303,EMP132,COR1533,100,2022-02-28,1
EN0304,EMP175,COR1879,90,2022-02-28,0
EN0305,EMP036,COR0726,62,2022-03-01,0
EN0306,EMP293,COR1869,100,2022-03-01,1
EN0307,EMP294,COR0502,100,2022-03-01,1
EN0308,EMP174,COR1838,43,2022-03-01,0
EN0309,EMP244,COR1531,100,2022-03-01,1
EN0310,EMP230,COR0128,100,2022-03-01,1
EN0311,EMP294,COR0090,100,2022-03-02,1
EN0312,EMP281,COR1939,100,2022-03-02,1
EN0313,EMP104,COR1164,38,2022-03-02,0
EN0314,EMP257,COR0068,100,2022-03-02,1
EN0315,EMP031,COR0101,17,2022-03-03,0
EN0316,EMP088,COR1777,100,2022-03-03,1
EN0317,EMP071,COR1492,100,2022-03-03,1
EN0318,EMP283,COR1974,100,2022-03-03,1
EN0319,EMP041,COR0361,100,2022-03-04,1
EN0320,EMP201,COR1419,100,2022-03-04,1
EN0321,EMP104,COR1676,100,2022-03-04,1
EN0322,EMP010,COR0214,52,2022-03-04,0
EN0323,EMP079,COR0828,100,2022-03-04,1
EN0324,EMP277,COR0368,69,2022-03-04,0
EN0325,EMP080,COR0427,100,2022-03-04,1
EN0326,EMP131,COR0026,72,2022-03-04,0
EN0327,EMP259,COR0250,100,2022-03-04,1
EN0328,EMP238,COR0370,100,2022-03-05,1
EN0329,EMP270,COR0606,50,2022-03-05,0
EN0330,EMP203,COR1924,100,2022-03-05,1
EN0331,EMP180,COR1205,65,2022-03-05,0
EN0332,EMP127,COR0285,11,2022-03-05,0
EN0333,EMP238,COR0385,100,2022-03-05,1
EN0334,EMP035,COR1628,1,2022-03-05,0
EN0335,EMP205,COR0431,100,2022-03-05,1
EN0336,EMP298,COR0928,56,2022-03-06,0
EN0337,EMP007,COR0966,4,2022-03-06,0
EN0338,EMP136,COR1841,100,2022-03-06,1
EN0339,EMP232,COR0400,100,2022-03-07,1
EN0340,EMP043,COR0919,31,2022-03-07,0
EN0341,EMP099,COR0317,100,2022-03-07,1
EN0342,EMP047,COR1391,100,2022-03-07,1
EN0343,EMP108,COR1628,61,2022-03-07,0
EN0344,EMP090,COR1622,100,2022-03-08,1
EN0345,EMP232,COR0720,100,2022-03-08,1
EN0346,EMP041,COR0982,100,2022-03-08,1
EN0347,EMP210,COR0110,100,2022-03-08,1
EN0348,EMP256,COR1096,100,2022-03-09,1
EN0349,EMP172,COR0687,49,2022-03-09,0
EN0350,EMP225,COR1272,100,2022-03-09,1
EN0351,EMP219,COR0165,100,2022-03-09,1
EN0352,EMP274,COR0131,100,2022-03-09,1
EN0353,EMP194,COR0278,100,2022-03-09,1
EN0354,EMP273,COR0161,100,2022-03-09,1
EN0355,EMP205,COR0290,100,2022-03-09,1
EN0356,EMP172,COR0056,100,2022-03-09,1
EN0357,EMP004,COR1549,100,2022-03-09,1
EN0358,EMP089,COR0565,100,2022-03-10,1
EN0359,EMP002,COR1226,81,2022-03-10,0
EN0360,EMP025,COR0054,9,2022-03-10,0
EN0361,EMP212,COR1954,50,2022-03-11,0
EN0362,EMP199,COR1488,100,2022-03-11,1
EN0363,EMP203,COR0739,100,2022-03-12,1
EN0364,EMP092,COR1457,100,2022-03-12,1
EN0365,EMP078,COR1401,100,2022-03-12,1
EN0366,EMP060,COR1109,100,2022-03-12,1
EN0367,EMP251,COR1281,100,2022-03-13,1
EN0368,EMP213,COR1067,100,2022-03-13,1
EN0369,EMP128,COR1184,100,2022-03-13,1
EN0370,EMP024,COR1006,100,2022-03-13,1
EN0371,EMP194,COR0982,100,2022-03-13,1
EN0372,EMP132,COR0013,100,2022-03-13,1
EN0373,EMP062,COR1893,100,2022-03-14,1
EN0374,EMP070,COR0348,6,2022-03-14,0
EN0375,EMP090,COR0231,100,2022-03-15,1
EN0376,EMP179,COR0093,99,2022-03-15,0
EN0377,EMP076,COR1280,100,2022-03-15,1
EN0378,EMP106,COR1414,100,2022-03-15,1
EN0379,EMP249,COR0747,73,2022-03-15,0
EN0380,EMP220,COR0427,28,2022-03-15,0
EN0381,EMP002,COR0431,90,2022-03-16,0
EN0382,EMP064,COR1534,66,2022-03-16,0
EN0383,EMP009,COR1669,100,2022-03-16,1
EN0384,EMP057,COR0226,45,2022-03-16,0
EN0385,EMP099,COR1549,100,2022-03-16,1
EN0386,EMP172,COR1228,100,2022-03-16,1
EN0387,EMP203,COR1336,100,2022-03-16,1
EN0388,EMP128,COR1258,100,2022-03-17,1
EN0389,EMP285,COR1651,16,2022-03-17,0
EN0390,EMP294,COR0909,23,2022-03-17,0
EN0391,EMP231,COR0348,100,2022-03-18,1
EN0392,EMP283,COR0794,100,2022-03-18,1
EN0393,EMP001,COR1676,62,2022-03-18,0
EN0394,EMP008,COR0944,100,2022-03-19,1
EN0395,EMP264,COR1522,100,2022-03-19,1
EN0396,EMP248,COR1362,100,2022-03-19,1
EN0397,EMP122,COR0464,93,2022-03-19,0
EN0398,EMP108,COR1436,100,2022-03-19,1
EN0399,EMP140,COR1612,16,2022-03-19,0
EN0400,EMP240,COR1846,100,2022-03-19,1
EN0401,EMP162,COR1930,100,2022-03-19,1
EN0402,EMP093,COR1599,66,2022-03-20,0
EN0403,EMP146,COR1811,100,2022-03-20,1
EN0404,EMP198,COR0909,100,2022-03-20,1
EN0405,EMP170,COR1926,55,2022-03-20,0
EN0406,EMP177,COR1301,71,2022-03-20,0
EN0407,EMP101,COR0248,100,2022-03-20,1
EN0408,EMP008,COR1629,5,2022-03-21,0
EN0409,EMP187,COR1370,57,2022-03-21,0
EN0410,EMP240,COR1246,100,2022-03-21,1
EN0411,EMP179,COR0411,73,2022-03-21,0
EN0412,EMP112,COR0901,48,2022-03-21,0
EN0413,EMP168,COR1362,31,2022-03-21,0
EN0414,EMP100,COR1569,100,2022-03-21,1
EN0415,EMP007,COR1975,100,2022-03-21,1
EN0416,EMP073,COR0773,100,2022-03-21,1
EN0417,EMP239,COR0996,100,2022-03-22,1
EN0418,EMP130,COR1014,53,2022-03-22,0
EN0419,EMP242,COR0304,100,2022-03-22,1
EN0420,EMP208,COR1806,100,2022-03-22,1
EN0421,EMP222,COR1357,31,2022-03-22,0
EN0422,EMP070,COR1516,100,2022-03-23,1
EN0423,EMP033,COR1206,69,2022-03-23,0
EN0424,EMP004,COR0986,16,2022-03-23,0
EN0425,EMP016,COR1024,100,2022-03-23,1
EN0426,EMP249,COR0420,100,2022-03-24,1
EN0427,EMP068,COR0066,44,2022-03-24,0
EN0428,EMP245,COR1629,48,2022-03-24,0
EN0429,EMP236,COR1644,100,2022-03-24,1
EN0430,EMP103,COR1542,100,2022-03-24,1
EN0431,EMP117,COR1837,100,2022-03-24,1
EN0432,EMP072,COR1207,84,2022-03-24,0
EN0433,EMP085,COR1665,93,2022-03-24,0
EN0434,EMP015,COR1898,100,2022-03-25,1
EN0435,EMP027,COR0213,61,2022-03-25,0
EN0436,EMP101,COR0375,100,2022-03-25,1
EN0437,EMP244,COR1722,100,2022-03-26,1
EN0438,EMP277,COR0819,96,2022-03-26,0
EN0439,EMP056,COR1009,100,2022-03-26,1
EN0440,EMP084,COR0699,55,2022-03-26,0
EN0441,EMP078,COR0019,100,2022-03-26,1
EN0442,EMP004,COR1041,100,2022-03-27,1
EN0443,EMP032,COR1524,30,2022-03-27,0
EN0444,EMP097,COR1860,100,2022-03-27,1
EN0445,EMP248,COR0264,100,2022-03-27,1
EN0446,EMP043,COR1153,100,2022-03-27,1
EN0447,EMP238,COR0022,100,2022-03-28,1
EN0448,EMP190,COR0301,100,2022-03-28,1
EN0449,EMP247,COR0393,81,2022-03-28,0
EN0450,EMP023,COR1721,67,2022-03-28,0
EN0451,EMP048,COR0664,100,2022-03-28,1
EN0452,EMP228,COR1762,100,2022-03-28,1
EN0453,EMP076,COR0293,100,2022-03-29,1
EN0454,EMP245,COR1966,100,2022-03-29,1
EN0455,EMP019,COR0539,100,2022-03-29,1
EN0456,EMP190,COR1939,67,2022-03-30,0
EN0457,EMP071,COR0392,100,2022-03-30,1
EN0458,EMP146,COR0062,51,2022-03-30,0
EN0459,EMP101,COR0744,100,2022-03-31,1
EN0460,EMP009,COR1872,20,2022-03-31,0
EN0461,EMP183,COR1149,100,2022-03-31,1
EN0462,EMP128,COR1608,81,2022-03-31,0
EN0463,EMP207,COR1057,100,2022-03-31,1
EN0464,EMP260,COR1298,38,2022-03-31,0
EN0465,EMP012,COR0330,19,2022-03-31,0
EN0466,EMP259,COR1081,100,2022-03-31,1
EN0467,EMP172,COR0575,55,2022-04-01,0
EN0468,EMP099,COR1323,100,2022-04-01,1
EN0469,EMP071,COR1323,100,2022-04-01,1
EN0470,EMP016,COR1795,100,2022-04-02,1
EN0471,EMP256,COR1213,100,2022-04-02,1
EN0472,EMP247,COR0358,0,2022-04-02,0
EN0473,EMP062,COR0910,58,2022-04-02,0
EN0474,EMP221,COR1694,88,2022-04-02,0
EN0475,EMP017,COR0538,23,2022-04-03,0
EN0476,EMP208,COR0792,100,2022-04-03,1
EN0477,EMP116,COR0374,100,2022-04-03,1
EN0478,EMP074,COR0959,71,2022-04-03,0
EN0479,EMP247,COR1237,76,2022-04-03,0
EN0480,EMP233,COR1716,100,2022-04-03,1
EN0481,EMP056,COR1513,100,2022-04-04,1
EN0482,EMP088,COR0471,77,2022-04-04,0
EN0483,EMP070,COR0280,100,2022-04-04,1
EN0484,EMP009,COR0823,67,2022-04-04,0
EN0485,EMP247,COR0255,100,2022-04-04,1
EN0486,EMP184,COR0422,100,2022-04-04,1
EN0487,EMP133,COR0982,100,2022-04-04,1
EN0488,EMP031,COR1172,16,2022-04-04,0
EN0489,EMP185,COR0002,74,2022-04-05,0
EN0490,EMP190,COR1161,100,2022-04-05,1
EN0491,EMP024,COR1372,100,2022-04-05,1
EN0492,EMP156,COR1814,48,2022-04-05,0
EN0493,EMP163,COR1701,100,2022-04-05,1
EN0494,EMP043,COR1158,82,2022-04-05,0
EN0495,EMP196,COR0851,100,2022-04-05,1
EN0496,EMP257,COR1396,100,2022-04-05,1
EN0497,EMP288,COR0323,100,2022-04-05,1
EN0498,EMP297,COR1166,100,2022-04-06,1
EN0499,EMP089,COR0752,100,2022-04-06,1
EN0500,EMP205,COR0244,100,2022-04-06,1
EN0501,EMP053,COR1564,5,2022-04-06,0
EN0502,EMP198,COR0750,100,2022-04-06,1
EN0503,EMP210,COR1603,100,2022-04-06,1
EN0504,EMP070,COR1552,30,2022-04-06,0
EN0505,EMP112,COR1819,100,2022-04-06,1
EN0506,EMP146,COR1463,100,2022-04-06,1
EN0507,EMP164,COR1139,14,2022-04-06,0
EN0508,EMP193,COR1508,47,2022-04-07,0
EN0509,EMP272,COR1789,64,2022-04-07,0
EN0510,EMP199,COR0508,100,2022-04-07,1
EN0511,EMP087,COR1679,100,2022-04-07,1
EN0512,EMP281,COR1281,100,2022-04-08,1
EN0513,EMP137,COR1300,64,2022-04-08,0
EN0514,EMP263,COR0174,100,2022-04-08,1
EN0515,EMP111,COR0548,51,2022-04-08,0
EN0516,EMP210,COR0998,47,2022-04-08,0
EN0517,EMP070,COR1946,100,2022-04-08,1
EN0518,EMP281,COR1659,100,2022-04-08,1
EN0519,EMP264,COR1778,54,2022-04-08,0
EN0520,EMP250,COR1101,95,2022-04-08,0
EN0521,EMP081,COR0277,82,2022-04-09,0
EN0522,EMP215,COR0811,100,2022-04-09,1
EN0523,EMP015,COR0061,100,2022-04-09,1
EN0524,EMP146,COR0251,100,2022-04-09,1
EN0525,EMP217,COR0370,86,2022-04-09,0
EN0526,EMP070,COR1386,100,2022-04-10,1
EN0527,EMP290,COR0857,12,2022-04-10,0
EN0528,EMP152,COR1580,100,2022-04-10,1
EN0529,EMP092,COR1925,100,2022-04-10,1
EN0530,EMP240,COR0097,100,2022-04-10,1
EN0531,EMP255,COR0825,13,2022-04-10,0
EN0532,EMP202,COR1417,100,2022-04-10,1
EN0533,EMP242,COR0592,6,2022-04-11,0
EN0534,EMP133,COR0446,100,2022-04-11,1
EN0535,EMP288,COR0143,100,2022-04-11,1
EN0536,EMP209,COR1399,100,2022-04-12,1
