ID,Title,Short_Intro,Category,Enrollment,Completions,URL
COR0031,Digital Product Management Specialization,Implement a modern approach to product management. Master the fundamentals that create great teams and products,Design and Product,4502,3585,https://www.coursera.org/specializations/uva-darden-digital-product-management
COR0032,Leading the Modern Day Business Specialization,,Leadership and Management,2241,1419,https://www.coursera.org/specializations/leading-modern-day-business
COR0033,Graphic Design Specialization,Make Compelling Design. Learn and apply the principles of graphic design towards a comprehensive branding project. ,Music and Art,974,597,https://www.coursera.org/specializations/graphic-design
COR0034,Security Analyst Fundamentals Specialization,Launch your career in Cybersecurity.. Acquire the knowledge you need to work as a Cybersecurity Analyst.,Security,1025,768,https://www.coursera.org/specializations/security-analyst-fundamentals
COR0035,Improve Your English Communication Skills Specialization,Improve Your English Communication Skills. Write and speak more professionally in English to increase your business success.,Learning English,3603,3112,https://www.coursera.org/specializations/improve-english
COR0036,Entrepreneurship Specialization,"Turn Your Idea into a Funded Business. Develop, launch, fund and grow your own business",Entrepreneurship,2179,1701,https://www.coursera.org/specializations/wharton-entrepreneurship
COR0037,Foundations of Positive Psychology  Specialization,Positive Psychology:  Well-being for life. Master strategies and tools that enable individuals and organizations to thrive,Business Essentials,178,143,https://www.coursera.org/specializations/positivepsychology
COR0038,Data Science Specialization,"Launch Your Career in Data Science. A ten-course introduction to data science, developed and taught by leading professors.",Data Analysis,3989,2648,https://www.coursera.org/specializations/jhu-data-science
COR0039,Supply Chain Management Specialization,"Supply Chain Management. Master the Fundamentals: Logistics, Operations, Planning, Sourcing, and Strategy",Business Essentials,2883,1603,https://www.coursera.org/specializations/supply-chain-management
COR0040,Fintech: Foundations & Applications of Financial Technology Specialization,,Business Essentials,2840,2238,https://www.coursera.org/specializations/wharton-fintech
COR0041,Microsoft 365 Fundamentals Specialization,Pursue your passion and improve your productivity. Learn how to use the best-in-class suite of apps that help you stay connected and get things done.,Business Essentials,3265,1730,https://www.coursera.org/specializations/microsoft-365-fundamentals
COR0042,Search Engine Optimization (SEO) Specialization,Become an SEO Expert. Master search engine optimization tools and strategies,Marketing,1736,876,https://www.coursera.org/specializations/seo
COR0043,AI Product Management Specialization,"Manage the Design & Development of ML Products. Understand how machine learning works and when and how it can be applied to solve problems.  Learn to apply the data science process and best practices to lead machine learning projects,  and how to develop human-centered AI products which ensure privacy and ethical standards.",Machine Learning,2331,1524,https://www.coursera.org/specializations/ai-product-management-duke
COR0044,Introduction to Programming with Python and Java Specialization,"Boost Your Computer Programming Skills. With minimal previous exposure, learn two popular programming languages at an accelerated pace.",Software Development,3821,2672,https://www.coursera.org/specializations/programming-python-java
COR0045,Construction Management Specialization,Construction Project Management and Planning. Develop and understand the foundations of project planning and scheduling techniques,Leadership and Management,2887,1670,https://www.coursera.org/specializations/construction-management
COR0046,IBM Introduction to Machine Learning Specialization,Learn machine learning through real use cases. Build the skills for a career in one of the most relevant fields of modern AI through hands-on projects and curriculum from IBM’s experts.,Data Analysis,2772,1401,https://www.coursera.org/specializations/ibm-intro-machine-learning
COR0047,Data Analysis and Presentation Skills: the PwC Approach Specialization,"Make Smarter Business Decisions With Data Analysis. Understand data, apply data analytics tools and create effective business intelligence presentations",Business Essentials,3820,2957,https://www.coursera.org/specializations/pwc-analytics
COR0048,AWS Fundamentals Specialization,,Cloud Computing,3756,2722,https://www.coursera.org/specializations/aws-fundamentals
COR0049,Data Science: Foundations using R Specialization,,Data Analysis,3089,1608,https://www.coursera.org/specializations/data-science-foundations-r
COR0050,Python 3 Programming Specialization,Become a Fluent Python Programmer. Learn the fundamentals and become an independent programmer.,Software Development,2360,2130,https://www.coursera.org/specializations/python-3-programming
COR0051,Reinforcement Learning Specialization,Master the Concepts of Reinforcement Learning. Implement a complete RL solution and understand how to apply AI tools to solve real-world problems.,Machine Learning,1440,1329,https://www.coursera.org/specializations/reinforcement-learning
COR0052,Accelerated Computer Science Fundamentals Specialization,Data Structures and Algorithms in C++. Learn fundamentals of computer science while implementing efficient data structures in C++.,Algorithms,693,546,https://www.coursera.org/specializations/cs-fundamentals
COR0053,Digital Marketing Specialization,"Drive Customer Behavior Online. A six-course overview of the latest digital marketing skills, taught by industry experts.",Marketing,2172,1696,https://www.coursera.org/specializations/digital-marketing
COR0054,DevOps on AWS Specialization,Launch your career in DevOps. Master DevOps methodologies and AWS services to deliver faster and more reliable updates to your customers,Software Development,3016,2108,https://www.coursera.org/specializations/aws-devops
COR0055,Generative Adversarial Networks (GANs) Specialization,Break into the GANs space. Master cutting-edge GANs techniques through three hands-on courses!,Machine Learning,3208,1992,https://www.coursera.org/specializations/generative-adversarial-networks-gans
COR0056,Data Visualization with Tableau Specialization,Visualize Business Data with Tableau. Create powerful business intelligence reports,Data Analysis,317,216,https://www.coursera.org/specializations/data-visualization
COR0057,Certified in Cybersecurity Specialization,Advance Your IT Career with Cybersecurity Skills. Gain Flexibility with Self-Paced Learning,Security,913,799,https://www.coursera.org/specializations/certified-in-cybersecurity
COR0058,Business Strategy Specialization,Steer Your Business to Success. Generate value and demonstrate global impact in four courses. ,Business Strategy,4472,4431,https://www.coursera.org/specializations/business-strategy
COR0059,Applied Data Science with Python Specialization,"Gain new insights into your data  . Learn to apply data science methods and techniques, and acquire analysis skills.",Data Analysis,779,413,https://www.coursera.org/specializations/data-science-python
COR0060,Human Resource Management: HR for People Managers Specialization,"Become a better manager of people. Develop strategies and skills for hiring, managing performance, and rewarding employees.",Business Strategy,304,195,https://www.coursera.org/specializations/human-resource-management
COR0061,Achieving Personal and Professional Success Specialization,"Learn How to Maximize Your Potential. Define Success, Communicate Effectively, and Use Influence to Accomplish Personal and Career Goals ",Personal Development,572,333,https://www.coursera.org/specializations/wharton-success
COR0062,Regulatory Compliance Specialization,Learn to create a culture of compliance. Master the strategies for building an effective compliance program to manage risk,Business Essentials,2328,1330,https://www.coursera.org/specializations/regulatory-compliance
COR0063,"TESOL Certificate, Part 1: Teach English Now! Specialization","TESOL Certificate, Part 1: Teach English Now!. Learn theory and the practical strategies of English as a Second Language teaching.",Learning English,4328,3548,https://www.coursera.org/specializations/tesol
COR0064,Financial Engineering and Risk Management Specialization,Advance Your Knowledge in Financial Engineering . Build the fundamentals and technical skills in financial engineering,Finance,4801,2627,https://www.coursera.org/specializations/financialengineering
COR0065,UI / UX Design Specialization,"Design High-Impact User Experiences. Research, design, and prototype effective, visually-driven websites and apps. ",Music and Art,1853,1052,https://www.coursera.org/specializations/ui-ux-design
COR0066,"Product Ideation, Design, and Management Specialization","Learn to discover, design, and deliver products that customers love.",Marketing,2859,1595,https://www.coursera.org/specializations/product-ideation-design-and-management
COR0067,Financial Analysis - Skills for Success Specialization,Prepare for a career in financial analysis. Gain a wholistic understanding of organizational finance and apply an analytical mindset toward financial statement analysis and organizational decision-making.,Finance,899,647,https://www.coursera.org/specializations/financial-analysis-skills-for-success
COR0068,Creative Writing Specialization,Craft Your Story Like the Great Writers. Craft an original story that will absorb a reader’s interest from the beginning to end.,Music and Art,3252,2195,https://www.coursera.org/specializations/creative-writing
COR0069,Data Structures and Algorithms Specialization,"Master Algorithmic Programming Techniques. Advance your Software Engineering or Data Science Career by Learning Algorithms through Programming and Puzzle Solving. Ace coding interviews by implementing each algorithmic challenge in this Specialization. Apply the newly-learned algorithmic techniques to real-life problems, such as analyzing a huge social network or sequencing a genome of a deadly pathogen. ",Algorithms,4683,3494,https://www.coursera.org/specializations/data-structures-algorithms
COR0070,Software Product Management Specialization,Create Better Software using Agile Practices. Master Agile development and effective interactions to drive the making of great software products,Design and Product,1280,1167,https://www.coursera.org/specializations/product-management
COR0071,Foundations of Management Specialization,Boost Your Career with New Business Knowledge . Master Business Management Fundamentals,Leadership and Management,1893,1693,https://www.coursera.org/specializations/foundations-management
COR0072,Genomic Data Science Specialization,Be a next generation sequencing data scientist.. Master the tools and techniques at the forefront of the sequencing data revolution.,Data Analysis,3265,2407,https://www.coursera.org/specializations/genomic-data-science
COR0073,Methods and Statistics in Social Sciences Specialization,"Critically Analyze Research and Results Using R. Learn to recognize sloppy science, perform solid research and do appropriate data analysis.",Governance and Society,3617,3442,https://www.coursera.org/specializations/social-science
COR0074,"NoSQL, Big Data, and Spark Foundations Specialization","Springboard your Big Data career. Master fundamentals of NoSQL, Big Data, and Apache Spark with hands-on job-ready skills in machine learning and data engineering. ",Data Management,2638,1418,https://www.coursera.org/specializations/nosql-big-data-and-spark-foundations
COR0075,Think like a CFO Specialization,,Finance,2878,2271,https://www.coursera.org/specializations/thinklikeacfo
COR0076,TensorFlow: Advanced Techniques Specialization,Expand your skill set and master TensorFlow. Customize your machine learning models through four hands-on courses! ,Machine Learning,815,779,https://www.coursera.org/specializations/tensorflow-advanced-techniques
COR0077,"Data Engineering, Big Data, and Machine Learning on GCP Specialization",Data Engineering on Google Cloud. Launch your career in Data Engineering. Deliver business value with big data and machine learning.,Machine Learning,3650,1870,https://www.coursera.org/specializations/gcp-data-machine-learning
COR0078,Mathematics for Machine Learning Specialization, Mathematics for Machine Learning. Learn about the prerequisite mathematics for applications in data science and machine learning ,Machine Learning,955,887,https://www.coursera.org/specializations/mathematics-machine-learning
COR0079,Modern and Contemporary Art and Design Specialization,"Explore Art and Ideas of Our Time. Develop a deeper understanding of artists’ and designers’ processes, and gain confidence in looking at and talking about art.",Music and Art,426,354,https://www.coursera.org/specializations/modern-contemporary-art-design
COR0080,Agile Development Specialization,Drive to Value with Agile Methods . Master an adaptive approach to product development,Design and Product,3324,1866,https://www.coursera.org/specializations/agile-development
COR0081,Career Success Specialization,Build Essential Skills for the Workplace. Improve your employability and advance in today’s dynamic workforce.,Business Essentials,2244,1149,https://www.coursera.org/specializations/career-success
COR0082,U.S. Federal Taxation Specialization,U.S. Federal Taxation of Individuals & Businesses. Learners will develop knowledge in U.S. federal taxation as applied to individuals and businesses. ,Business Essentials,2588,2479,https://www.coursera.org/specializations/united-states-federal-taxation
COR0083,The Business of Music Production Specialization,Become a Business-Savvy Music Producer. Gain the knowledge and skills you need to launch your career as a music producer.,Music and Art,4011,2141,https://www.coursera.org/specializations/business-music-production
COR0084,The Business of Health Care Specialization,Advance your career in health care management. Develop business skills and understand the American health care system to improve cost and quality.,Healthcare Management,2161,1966,https://www.coursera.org/specializations/healthcare-administration-management
COR0085,Practical Data Science on the AWS Cloud Specialization,Become a cloud data science expert. Develop and scale your data science projects into the cloud using Amazon SageMaker,Machine Learning,3161,1862,https://www.coursera.org/specializations/practical-data-science
COR0086,Risk Management Specialization,Enhance Your Skills in Risk Management. Understand the theory and practice of risk management and the expected results from a successful risk management process.,Finance,197,131,https://www.coursera.org/specializations/risk-management
COR0087,Music Production Specialization,Develop Your Creativity as a Music Producer . Learn the art and technology of music production to create professional music compositions.,Music and Art,2896,2174,https://www.coursera.org/specializations/music-production
COR0088,Google Cloud Database Engineer Specialization,Advance your cloud career in database engineering,Cloud Computing,935,499,https://www.coursera.org/specializations/google-cloud-database-engineer
COR0089,Architecting with Google Compute Engine Specialization,"Launch your career in Cloud Architecture. Design, develop, and manage cloud solutions to drive business objectives.",Cloud Computing,3372,1900,https://www.coursera.org/specializations/gcp-architecture
COR0090,Global Procurement and Sourcing Specialization,"Learn about Global Procurement and Sourcing. Reviews the key aspects of global procurement and sourcing, and the importance of procurement to the firm, its stakeholders, and suppliers. ",Leadership and Management,3178,2761,https://www.coursera.org/specializations/procurement-sourcing
COR0091,Entrepreneurship: Growing Your Business Specialization,,Business Strategy,141,78,https://www.coursera.org/specializations/entrepreneurship-growing-your-business
COR0092,Six Sigma Yellow Belt Specialization,Improve Your Career With Six Sigma Knowledge. Learn proven principles and tools to improve quality assurance in your organization,Leadership and Management,4684,3238,https://www.coursera.org/specializations/six-sigma-fundamentals
COR0093,The DIY Musician Specialization,"Write, Record, and Produce Your Own Music. Learn how to produce your own music and launch your music career.",Music and Art,2778,2094,https://www.coursera.org/specializations/diy-musician
COR0094,Algorithms Specialization,Learn To Think Like A Computer Scientist. Master the fundamentals of the design and analysis of algorithms.,Algorithms,1458,1357,https://www.coursera.org/specializations/algorithms
COR0095,"Influencing: Storytelling, Change Management and Governance Specialization",,Leadership and Management,3052,1616,https://www.coursera.org/specializations/influencing-storytelling-change-management
COR0096,Applied Data Science with R Specialization,Build Your Data Science Skills with R & SQL. Master the ability to transform data into information and insights.,Data Analysis,4616,2890,https://www.coursera.org/specializations/applied-data-science-r
COR0097,Geographic Information Systems  (GIS) Specialization,"Map Your World With GIS. Explore the tools, concepts, and terminology of spatial analysis and modeling",Data Analysis,2299,2030,https://www.coursera.org/specializations/gis
COR0098,Decentralized Finance (DeFi): The Future of Finance Specialization,Learn more about decentralized finance.. Understand the infrastructure of decentralized finance and assess opportunities in this space as well as screen out ideas that are likely to fail.,Finance,4170,2141,https://www.coursera.org/specializations/decentralized-finance-duke
COR0099,Project Management & Other Tools for Career Development Specialization,,Business Essentials,4607,2364,https://www.coursera.org/specializations/project-management-success
COR0100,Project Management Principles and Practices Specialization,"Project Management Principles and Practices.  Work Better, Together",Business Essentials,259,146,https://www.coursera.org/specializations/project-management
COR0101,Java Programming and Software Engineering Fundamentals Specialization,Explore a Career as a Software Engineer. Learn the basics of programming and software development,Software Development,861,716,https://www.coursera.org/specializations/java-programming
COR0102,MATLAB Programming for Engineers and Scientists Specialization,From Zero to MATLAB Hero in Three Courses.. Gain a solid foundation in computer programming and become a MATLAB expert.,Software Development,121,113,https://www.coursera.org/specializations/matlab-programming-engineers-scientists
COR0103,Design Thinking Specialization,Embark On Your Design Journey. Master core competencies and deepen your practice.,Leadership and Management,1212,1143,https://www.coursera.org/specializations/uva-darden-design-thinking
COR0104,Architecting with Google Kubernetes Engine Specialization,,Cloud Computing,690,493,https://www.coursera.org/specializations/architecting-google-kubernetes-engine
COR0105,Security in Google Cloud Specialization,"Launch your career in Cloud Security. This self-paced Specialization gives a broad study of security controls, best practices, and techniques on Google Cloud.",Security,3237,2811,https://www.coursera.org/specializations/security-google-cloud-platform
COR0106,Leading People and Teams Specialization,Leading Effectively. Learn proven management techniques in just four courses.,Leadership and Management,1574,1505,https://www.coursera.org/specializations/leading-teams
COR0107,Coding for Everyone: C and C++ Specialization,"Beginner to Programmer — Learn to Code in C & C++. Gain a deep understanding of computer programming by learning to code, debug, and solve complex problems with C and C++.",Software Development,4524,3719,https://www.coursera.org/specializations/coding-for-everyone
COR0108,Developing Applications with Google Cloud Specialization,"Design, Develop, and Deploy Apps on Google Cloud. Build secure, scalable, and intelligent cloud-native applications. ",Software Development,3572,3280,https://www.coursera.org/specializations/developing-apps-gcp
COR0109,Real-World Product Management Specialization,"Sponsored by AWS.. Is product management right for you? How do you get your first, or next, product management role? Learn from Nancy Wang, one of the youngest general managers and director of product and engineering at AWS, and 20 other real, full-time product leaders, including CEOs, who make hiring and promotion decisions across the industry! Learn from the same playbooks as Amazon, Google, Meta, Microsoft, and startups! Hone your skills with real-world projects and hundreds of real PM interview questions. ACE® approved—upon completion, you can earn up to 6 college credits.",Design and Product,1295,980,https://www.coursera.org/specializations/real-world-product-management
COR0110,Pricing Strategy Optimization Specialization,Set prices the way the experts do. Master pricing strategies used by global consulting and academic leaders.,Marketing,2073,1707,https://www.coursera.org/specializations/uva-darden-bcg-pricing-strategy
COR0111,Networking in Google Cloud Specialization,"Launch your career in Cloud Networking. Design, develop, and manage cloud networking solutions to drive business objectives.",Networking,2615,1782,https://www.coursera.org/specializations/networking-google-cloud-platform
COR0112,Academic English: Writing Specialization,Transform Your Writing Skills. Prepare for college-level writing and research in just four courses.,Education,4146,2186,https://www.coursera.org/specializations/academic-english
COR0113,Introduction to Cyber Security Specialization,Cyber Security. An introduction to modern information and system protection technology and methods.,Computer Security and Networks,2044,1701,https://www.coursera.org/specializations/intro-cyber-security
COR0114,Business Data Management and Communication Specialization,"Discover and discern the value of information. Learners will be able to work with data, obtain valuable information, and gauge its economic utility. ",Data Analysis,1012,893,https://www.coursera.org/specializations/business-data-management-communication
COR0115,Intellectual Property Law Specialization,Become fluent in the rules of the new economy. Learn how to use intellectual property law to protect and maximize the value of your innovations,Business Strategy,3947,3581,https://www.coursera.org/specializations/introduction-intellectual-property
COR0116,The Singer Songwriter Specialization,"Write, perform, and record original music. Learn how to transform your ideas and emotions into songs that are uniquely you",Music and Art,185,182,https://www.coursera.org/specializations/singer-songwriter
COR0117,AI for Medicine Specialization,,Machine Learning,2338,1478,https://www.coursera.org/specializations/ai-for-medicine
COR0118,Mergers and Acquisitions  Specialization,Learn to execute successful M&A strategies. Learners will be able to gain a wholistic understanding of how successful M&A deals are structured and executed to create value for the organization,Finance,682,440,https://www.coursera.org/specializations/mergersandacquisitions
COR0119,Dynamic Public Speaking Specialization,Become an Excellent Public Speaker. Master techniques for designing and delivering clear and compelling presentations. ,Personal Development,3854,2049,https://www.coursera.org/specializations/public-speaking
COR0120,Supply Chain Analytics Specialization,Launch Your Career in Supply Chain Analytics. Master Data-Driven Tools to Improve Supply Chain Performance,Business Essentials,3164,2448,https://www.coursera.org/specializations/supply-chain-analytics
COR0121,Six Sigma Black Belt Specialization,"Six Sigma Black Belt Certification Course. Reinforce  and enhance the DMAIC process combined with an extension into Organizational Planning and Development, Team Management, and Design for Six Sigma.",Leadership and Management,2587,1911,https://www.coursera.org/specializations/six-sigma-black-belt
COR0122,Strategic Leadership and Management Specialization,Leadership and Business Skill for Immediate Impact. Apply practical strategies to becoming an effective organizational leader.,Leadership and Management,3293,3073,https://www.coursera.org/specializations/strategic-leadership
COR0123,Music Education for Teachers Specialization,Develop Strategies for Teaching Popular Music. Advance your instructional practice for teaching popular music in the classroom,Education,2492,2461,https://www.coursera.org/specializations/music-education
COR0124,Project Management Specialization,Become a Project Manager. Learn the skills required to manage successful projects.,Leadership and Management,3288,2523,https://www.coursera.org/specializations/meem-project-management
COR0125,User Experience Research and Design Specialization,Begin your journey in UX Research and Design . Gain a solid foundation in UX Research and Design to create great products and advance your career.,Design and Product,4896,3377,https://www.coursera.org/specializations/michiganux
COR0126,Good with Words: Writing and Editing Specialization,Writing. Editing. Persuasion. Learn the mechanics and strategy of effective communication.,Personal Development,4720,3662,https://www.coursera.org/specializations/good-with-words
COR0127,Drug Development Product Management Specialization,"Drugs: From Target Discovery to Patients. Familiarize yourself with the process of drug discovery, drug development and drug commercialization, in this new specialization from University of California, San Diego!",Healthcare Management,3699,2866,https://www.coursera.org/specializations/drug-development-product-management
COR0128,Excel Skills for Data Analytics and Visualization Specialization,"Unleash the Power of Excel to Analyse Your Data. Import, visualize, and analyze huge and complex datasets using modern Excel tools.",Business Essentials,1769,1728,https://www.coursera.org/specializations/excel-data-analytics-visualization
COR0129,"Food Sustainability, Mindful Eating, and Healthy Cooking Specialization","Make Mindful, Sustainable Food Choices & Cook . Learn strategies and skills for protecting your health and the health of the planet.",Nutrition,4708,3095,https://www.coursera.org/specializations/food-sustainability-mindful-eating-healthy-cooking
COR0130,Web Design for Everybody: Basics of Web Development & Coding Specialization,"Learn to Design and Create Websites. Build a responsive and accessible web portfolio using HTML5, CSS3, and JavaScript",Mobile and Web Development,932,513,https://www.coursera.org/specializations/web-design
COR0131,Microsoft Azure Fundamentals AZ-900 Exam Prep Specialization,Launch your career in cloud computing. Prepare for the Microsoft AZ-900 certification exam.,Software Development,1184,722,https://www.coursera.org/specializations/microsoft-azure-fundamentals-az-900
COR0132,Business Value and Project Management Specialization,"Coursework to build great organizational leaders.. Learners will be able to form a more wholistic perspective on business fundamentals and better manage organizational development, change, and projects.",Leadership and Management,4875,4598,https://www.coursera.org/specializations/business-value-project-management
COR0133,Clinical Trials Operations Specialization,Design and Conduct Successful Clinical Trials. Build skills for conducting successful and impactful clinical trials.,Public Health,1418,993,https://www.coursera.org/specializations/clinical-trials-operations
COR0134,Investment Management with Python and Machine Learning Specialization,,Finance,2963,1828,https://www.coursera.org/specializations/investment-management-python-machine-learning
COR0135,Data Analysis with R Specialization,"Master Data Analysis with R. Statistical mastery of data analysis including basic data visualization, statistical testing and inference, and linear modeling",Data Analysis,2718,2202,https://www.coursera.org/specializations/statistics
COR0136,Excel to MySQL: Analytic Techniques for Business Specialization,Turn Data Into Value. Drive business process change by identifying & analyzing key metrics in 4 industry-relevant courses.,Business Essentials,540,327,https://www.coursera.org/specializations/excel-mysql
COR0137,Bayesian Statistics Specialization,Bayesian Statistics for Modeling and Prediction. Learn the foundations and practice your data analysis skills.,Probability and Statistics,118,78,https://www.coursera.org/specializations/bayesian-statistics
COR0138,Data Science Foundations: Data Structures and Algorithms Specialization,,Algorithms,497,321,https://www.coursera.org/specializations/boulder-data-structures-algorithms
COR0139,Biostatistics in Public Health  Specialization,"Build Statistical Skills for Biological Sciences. Master the tools and methods you need to analyze, interpret, and communicate biostatistical data.",Public Health,3873,2616,https://www.coursera.org/specializations/biostatistics-public-health
COR0140,Algorithms for Battery Management Systems Specialization,"Get Started in Algorithms for Battery Management. Learn how to model lithium-ion battery cells, and how to use those models to manage battery packs",Electrical Engineering,3599,3501,https://www.coursera.org/specializations/algorithms-for-battery-management-systems
COR0141,"Effective Communication: Writing, Design, and Presentation Specialization","Build Communication Skill for Professional Success. Master business writing, graphic design, and business presentation skills ",Business Essentials,2987,2123,https://www.coursera.org/specializations/effective-business-communication
COR0142,Financial Management Specialization,Become a Strategic Financial Manager . Develop an integrated financial management framework.,Finance,555,386,https://www.coursera.org/specializations/financial-management
