CourseId,Title,Category,Total_enrollment,Total_Completions,completion_rate
COR0063,"TESOL Certificate, Part 1: Teach English Now! Specialization",Learning English,4328,3548,81.97781885397413
COR0064,Financial Engineering and Risk Management Specialization,Finance,4801,2627,54.71776713184753
COR0065,UI / UX Design Specialization,Music and Art,1853,1052,56.77280086346465
COR0066,"Product Ideation, Design, and Management Specialization",Marketing,2859,1595,55.78873732074152
COR0067,Financial Analysis - Skills for Success Specialization,Finance,899,647,71.96885428253616
COR0068,Creative Writing Specialization,Music and Art,3252,2195,67.49692496924969
COR0069,Data Structures and Algorithms Specialization,Algorithms,4683,3494,74.61029254751227
COR0070,Software Product Management Specialization,Design and Product,1280,1167,91.171875
COR0071,Foundations of Management Specialization,Leadership and Management,1893,1693,89.43475964078182
COR0072,Genomic Data Science Specialization,Data Analysis,3265,2407,73.72128637059724
COR0073,Methods and Statistics in Social Sciences Specialization,Governance and Society,3617,3442,95.16173624550733
COR0074,"NoSQL, Big Data, and Spark Foundations Specialization",Data Management,2638,1418,53.75284306292646
COR0075,Think like a CFO Specialization,Finance,2878,2271,78.90896455872134
COR0076,TensorFlow: Advanced Techniques Specialization,Machine Learning,815,779,95.58282208588957
COR0077,"Data Engineering, Big Data, and Machine Learning on GCP Specialization",Machine Learning,3650,1870,51.23287671232877
COR0078,Mathematics for Machine Learning Specialization,Machine Learning,955,887,92.87958115183245
COR0079,Modern and Contemporary Art and Design Specialization,Music and Art,426,354,83.09859154929578
COR0080,Agile Development Specialization,Design and Product,3324,1866,56.13718411552347
COR0081,Career Success Specialization,Business Essentials,2244,1149,51.20320855614974
COR0082,U.S. Federal Taxation Specialization,Business Essentials,2588,2479,95.78825347758887
COR0083,The Business of Music Production Specialization,Music and Art,4011,2141,53.378209922712536
COR0084,The Business of Health Care Specialization,Healthcare Management,2161,1966,90.9763998149005
COR0085,Practical Data Science on the AWS Cloud Specialization,Machine Learning,3161,1862,58.90540968048086
COR0086,Risk Management Specialization,Finance,197,131,66.49746192893402
COR0087,Music Production Specialization,Music and Art,2896,2174,75.06906077348067
COR0088,Google Cloud Database Engineer Specialization,Cloud Computing,935,499,53.36898395721925
COR0089,Architecting with Google Compute Engine Specialization,Cloud Computing,3372,1900,56.34638196915777
COR0090,Global Procurement and Sourcing Specialization,Leadership and Management,3178,2761,86.8785399622404
COR0091,Entrepreneurship: Growing Your Business Specialization,Business Strategy,141,78,55.319148936170215
COR0092,Six Sigma Yellow Belt Specialization,Leadership and Management,4684,3238,69.12894961571307
COR0093,The DIY Musician Specialization,Music and Art,2778,2094,75.377969762419
COR0094,Algorithms Specialization,Algorithms,1458,1357,93.0727023319616
COR0095,"Influencing: Storytelling, Change Management and Governance Specialization",Leadership and Management,3052,1616,52.94888597640891
COR0096,Applied Data Science with R Specialization,Data Analysis,4616,2890,62.608318890814566
COR0097,Geographic Information Systems  (GIS) Specialization,Data Analysis,2299,2030,88.29926054806437
COR0098,Decentralized Finance (DeFi): The Future of Finance Specialization,Finance,4170,2141,51.34292565947243
COR0099,Project Management & Other Tools for Career Development Specialization,Business Essentials,4607,2364,51.31321901454309
COR0100,Project Management Principles and Practices Specialization,Business Essentials,259,146,56.37065637065637
COR0101,Java Programming and Software Engineering Fundamentals Specialization,Software Development,861,716,83.15911730545878
COR0102,MATLAB Programming for Engineers and Scientists Specialization,Software Development,121,113,93.38842975206612
COR0103,Design Thinking Specialization,Leadership and Management,1212,1143,94.3069306930693
COR0104,Architecting with Google Kubernetes Engine Specialization,Cloud Computing,690,493,71.44927536231884
COR0105,Security in Google Cloud Specialization,Security,3237,2811,86.83966635773864
COR0106,Leading People and Teams Specialization,Leadership and Management,1574,1505,95.61626429479034
COR0107,Coding for Everyone: C and C++ Specialization,Software Development,4524,3719,82.20601237842618
COR0108,Developing Applications with Google Cloud Specialization,Software Development,3572,3280,91.82530795072789
COR0109,Real-World Product Management Specialization,Design and Product,1295,980,75.67567567567568
COR0110,Pricing Strategy Optimization Specialization,Marketing,2073,1707,82.34442836468887
COR0111,Networking in Google Cloud Specialization,Networking,2615,1782,68.14531548757171
COR0112,Academic English: Writing Specialization,Education,4146,2186,52.7255185721177
COR0113,Introduction to Cyber Security Specialization,Computer Security and Networks,2044,1701,83.21917808219177
COR0114,Business Data Management and Communication Specialization,Data Analysis,1012,893,88.2411067193676
COR0115,Intellectual Property Law Specialization,Business Strategy,3947,3581,90.72713453255638
COR0116,The Singer Songwriter Specialization,Music and Art,185,182,98.37837837837839
COR0117,AI for Medicine Specialization,Machine Learning,2338,1478,63.216424294268606
COR0118,Mergers and Acquisitions  Specialization,Finance,682,440,64.51612903225806
COR0119,Dynamic Public Speaking Specialization,Personal Development,3854,2049,53.16554229372081
COR0120,Supply Chain Analytics Specialization,Business Essentials,3164,2448,77.37041719342605
COR0121,Six Sigma Black Belt Specialization,Leadership and Management,2587,1911,73.86934673366834
COR0122,Strategic Leadership and Management Specialization,Leadership and Management,3293,3073,93.3191618584877
COR0123,Music Education for Teachers Specialization,Education,2492,2461,98.75601926163723
COR0124,Project Management Specialization,Leadership and Management,3288,2523,76.73357664233576
COR0125,User Experience Research and Design Specialization,Design and Product,4896,3377,68.97467320261438
COR0126,Good with Words: Writing and Editing Specialization,Personal Development,4720,3662,77.58474576271186
COR0127,Drug Development Product Management Specialization,Healthcare Management,3699,2866,77.48040010813733
COR0128,Excel Skills for Data Analytics and Visualization Specialization,Business Essentials,1769,1728,97.68230638778971
COR0129,"Food Sustainability, Mindful Eating, and Healthy Cooking Specialization",Nutrition,4708,3095,65.7391673746814
COR0130,Web Design for Everybody: Basics of Web Development & Coding Specialization,Mobile and Web Development,932,513,55.04291845493562
COR0131,Microsoft Azure Fundamentals AZ-900 Exam Prep Specialization,Software Development,1184,722,60.979729729729726
COR0132,Business Value and Project Management Specialization,Leadership and Management,4875,4598,94.31794871794872
COR0133,Clinical Trials Operations Specialization,Public Health,1418,993,70.02820874471087
COR0134,Investment Management with Python and Machine Learning Specialization,Finance,2963,1828,61.69422882213972
COR0135,Data Analysis with R Specialization,Data Analysis,2718,2202,81.01545253863135
COR0136,Excel to MySQL: Analytic Techniques for Business Specialization,Business Essentials,540,327,60.55555555555555
COR0137,Bayesian Statistics Specialization,Probability and Statistics,118,78,66.10169491525424
COR0138,Data Science Foundations: Data Structures and Algorithms Specialization,Algorithms,497,321,64.58752515090544
COR0139,Biostatistics in Public Health  Specialization,Public Health,3873,2616,67.54453911696359
COR0140,Algorithms for Battery Management Systems Specialization,Electrical Engineering,3599,3501,97.27702139483189
COR0141,"Effective Communication: Writing, Design, and Presentation Specialization",Business Essentials,2987,2123,71.07465684633412
COR0142,Financial Management Specialization,Finance,555,386,69.54954954954955
COR0143,Game Design: Art and Concepts Specialization,Music and Art,4539,2342,51.59726812073144
COR0144,Neuroscience and Neuroimaging Specialization,Data Analysis,4832,2807,58.091887417218544
COR0145,Electronic Music Production Specialization,Music and Art,3361,2978,88.60458196965189
COR0146,Branding: The Creative Journey Specialization,Business Strategy,3612,3104,85.93576965669989
COR0147,Six Sigma Green Belt Specialization,Business Essentials,734,699,95.2316076294278
COR0148,Excel/VBA for Creative Problem Solving Specialization,Design and Product,3540,2074,58.587570621468934
COR0149,Business Statistics and Analysis Specialization,Probability and Statistics,2521,1610,63.86354621182071
COR0150,People and Soft Skills for Professional and Personal Success Specialization,Personal Development,226,161,71.23893805309734
COR0151,"Songwriting: Writing, Arranging, and Producing Music Specialization",Music and Art,4090,2153,52.640586797066014
COR0152,Culture-Driven Team Building Specialization,Business Essentials,231,203,87.87878787878788
COR0153,Investment Management Specialization,Finance,1418,1170,82.51057827926658
COR0154,Object Oriented Programming in Java Specialization,Software Development,4134,3091,74.77019835510401
COR0155,Fundamentals of Accounting  Specialization,Business Essentials,3695,3284,88.87686062246279
COR0156,Databases for Data Scientists Specialization,Data Management,4082,3361,82.33708966193043
COR0157,PostgreSQL for Everybody Specialization,Mobile and Web Development,909,705,77.55775577557755
COR0158,Medical Terminology Specialization,Basic Science,4019,2584,64.2946006469271
COR0159,Advanced Data Science with IBM Specialization,Machine Learning,4786,3733,77.9983284580025
COR0160,Probabilistic Graphical Models  Specialization,Machine Learning,1077,742,68.89507892293408
COR0161,FPGA Design for Embedded Systems Specialization,Electrical Engineering,959,814,84.8800834202294
COR0162,School Health for Children and Adolescents Specialization,Patient Care,2621,1456,55.551316291491794
COR0163,Statistical Analysis with R for Public Health Specialization,Public Health,2774,2043,73.64816149963951
COR0164,Music Business  Specialization,Leadership and Management,3747,2933,78.27595409661062
COR0165,Healthcare IT Support Specialization,Health Informatics,1315,896,68.13688212927757
COR0166,Practical Guide to Trading Specialization,Finance,340,337,99.11764705882354
COR0167,Introduction to Logic and Critical Thinking Specialization,Philosophy,3920,3859,98.4438775510204
COR0168,Blockchain Specialization,Software Development,276,174,63.04347826086957
COR0169,Software Design and Architecture Specialization,Software Development,4337,3491,80.49342863730689
COR0170,Climate Change and Sustainable Investing Specialization,Finance,4946,4916,99.39344925192074
COR0171,Functional Programming in Scala Specialization,Software Development,2276,2016,88.57644991212655
COR0172,Microsoft Azure Data Fundamentals DP-900 Exam Prep Specialization,Data Analysis,1936,1055,54.49380165289256
COR0173,Financial Technology (Fintech) Innovations Specialization,Finance,1851,1588,85.7914640734738
COR0174,Business Strategies for A Better World Specialization,Leadership and Management,105,57,54.285714285714285
COR0175,Machine Learning on Google Cloud Specialization,Machine Learning,1407,920,65.38734896943852
COR0176,Integrative Health and Medicine Specialization,Patient Care,1057,966,91.3907284768212
COR0177,Futures Thinking Specialization,Business Essentials,342,215,62.86549707602339
COR0178,Finance for Technical Managers Specialization,Leadership and Management,2475,1488,60.12121212121212
COR0179,"TESOL Certificate, Part 2: Teach English Now! Specialization",Learning English,386,248,64.24870466321244
COR0180,Introduction to Discrete Mathematics for Computer Science Specialization,Algorithms,319,273,85.57993730407524
COR0181,Core Java Specialization,Software Development,190,144,75.78947368421053
COR0182,Engineering Project Management Specialization,Leadership and Management,1316,905,68.76899696048632
COR0183,Bioinformatics Specialization,Health Informatics,1042,953,91.45873320537427
COR0184,Cybersecurity Attack and Defense Fundamentals Specialization,Computer Security and Networks,4442,3219,72.4673570463755
COR0185,Organizational Leadership Specialization,Leadership and Management,1226,772,62.96900489396411
COR0186,Inspirational Leadership: Leading with Sense Specialization,Leadership and Management,2041,1297,63.54728074473297
COR0187,Photography Basics and Beyond: From Smartphone to DSLR Specialization,Music and Art,2555,1578,61.76125244618396
COR0188,Omnichannel Retail Strategy Specialization,Business Strategy,1169,879,75.19247219846022
COR0189,Renewable Energy Specialization,Environmental Science and Sustainability,1670,1396,83.59281437125749
COR0190,Become an EMT Specialization,Patient Care,1002,551,54.99001996007984
COR0191,Market Research Specialization,Marketing,3402,2265,66.57848324514991
COR0192,Transforming the Fashion Business Specialization,Business Strategy,4980,4612,92.61044176706828
COR0193,"GIS, Mapping, and Spatial Analysis Specialization",Data Analysis,1024,911,88.96484375
COR0194,Trading Strategies in Emerging Markets Specialization,Finance,4724,2779,58.8272650296359
COR0195,Healthcare Law Specialization,Healthcare Management,4369,2807,64.24811169604028
COR0196,Web Applications for Everybody Specialization,Mobile and Web Development,3198,2671,83.52095059412133
COR0197,Inspired Leadership Specialization,Leadership and Management,1049,686,65.39561487130601
COR0198,Marketing Strategy Specialization,Marketing,875,745,85.14285714285714
COR0199,Health Informatics Specialization,Health Informatics,1737,1375,79.15947035118019
COR0200,Robotics Specialization,Electrical Engineering,1825,1676,91.83561643835615
COR0201,Management Consulting Specialization,Leadership and Management,3408,2663,78.13967136150235
COR0202,Machine Learning Specialization,Machine Learning,2539,2478,97.59747932256793
COR0203,Professional Skills for the Workplace Specialization,Business Essentials,2532,1735,68.52290679304897
COR0204,Introduction to Computer Science and Programming Specialization,Software Development,4873,3199,65.64744510568438
COR0205,C# Programming for Unity Game Development Specialization,Software Development,338,329,97.33727810650888
COR0206,Artificial Intelligence: an Overview Specialization,Algorithms,3962,3760,94.90156486622918
COR0207,Embedding Sensors and Motors Specialization,Electrical Engineering,3337,1990,59.63440215762661
COR0208,Expressway to Data Science: Essential Math Specialization,Math and Logic,2101,2029,96.57306044740601
COR0209,Everyday Excel Specialization,Design and Product,3193,2870,89.88412151581585
COR0210,C Programming with Linux Specialization,Software Development,1419,1319,92.95278365045807
COR0211,Blockchain Revolution in Financial Services Specialization,Computer Security and Networks,979,680,69.45863125638407
COR0212,The Pronunciation of American English Specialization,Learning English,2851,2109,73.97404419501929
COR0213,Managing Cybersecurity Specialization,Security,2938,2640,89.857045609258
COR0214,Digital Manufacturing & Design Technology  Specialization,Electrical Engineering,2775,2706,97.51351351351352
COR0215,Epidemiology in Public Health Practice Specialization,Public Health,2143,2021,94.30704619692021
COR0216,Social Media Marketing Specialization,Marketing,597,406,68.00670016750419
COR0217,Managerial Economics and Business Analysis  Specialization,Finance,1180,881,74.66101694915255
COR0218,Sustainability Analyst Fundamentals Specialization,Environmental Science and Sustainability,4685,3171,67.68409818569904
COR0219,Interaction Design Specialization,Design and Product,2334,2087,89.41730934018852
COR0220,Introductory C Programming Specialization,Software Development,1578,1523,96.51457541191381
COR0221,Learn English: Intermediate Grammar Specialization,Learning English,1758,1507,85.72241183162684
COR0222,How to Play Guitar Specialization,Music and Art,1047,918,87.67908309455588
COR0223,Spring Framework Specialization,Software Development,3448,2737,79.37935034802784
COR0224,Investment and Portfolio Management Specialization,Finance,2956,1729,58.49120433017592
COR0225,Coaching Skills for Managers Specialization,Leadership and Management,3173,3126,98.51875196974473
COR0226,Data Visualization & Dashboarding with R Specialization,Data Analysis,3648,2971,81.44188596491229
COR0227,Business Analytics Specialization,Business Essentials,1993,1844,92.52383341695935
COR0228,An Introduction to Programming the Internet of Things (IOT) Specialization,Electrical Engineering,4481,3153,70.36375808971212
COR0229,Software Testing and Automation Specialization,Software Development,929,680,73.19698600645856
COR0230,Linux and Private Cloud Administration on IBM Power Systems Specialization,Cloud Computing,1574,899,57.1156289707751
COR0231,Power Electronics Specialization,Electrical Engineering,2019,1961,97.1272907379891
COR0232,Microsoft Azure AI Fundamentals AI-900 Exam Prep Specialization,Machine Learning,457,300,65.64551422319475
COR0233,Cybersecurity Specialization,Computer Security and Networks,343,257,74.9271137026239
COR0234,Cancer Biology Specialization,Basic Science,420,310,73.80952380952381
COR0235,"Strategic Leadership: Impact, Change, and Decision-Making Specialization",Leadership and Management,1722,1645,95.52845528455285
COR0236,Learn Chinese: HSK Test Preparation Specialization,Other Languages,1279,1084,84.75371383893668
COR0237,Abnormal Psychology Specialization,Psychology,2781,2508,90.18338727076592
COR0238,Business English Communication Skills Specialization,Learning English,1321,1291,97.72899318697957
COR0239,Statistics with Python Specialization,Probability and Statistics,1159,786,67.81708369283865
COR0240,Conflict Management Specialization,Leadership and Management,2739,1661,60.6425702811245
COR0241,Big Data Specialization,Data Analysis,2243,2149,95.80918412839947
COR0242,Robotic Process Automation (RPA) Specialization,Software Development,302,169,55.960264900662246
COR0243,Healthcare Organization Operations Specialization,Healthcare Management,2748,2542,92.50363901018923
COR0244,Data Mining  Specialization,Machine Learning,2009,1540,76.65505226480836
COR0245,"Python, Bash and SQL Essentials for Data Engineering Specialization",Data Management,2713,1637,60.33910799852562
COR0246,Supply Chain Finance and Blockchain Technology Specialization,Finance,1375,1162,84.50909090909092
COR0247,Oracle SQL Databases Specialization,Data Management,248,202,81.45161290322581
COR0248,Machine Learning for Trading Specialization,Machine Learning,2758,2556,92.67585206671501
COR0249,Software Development Lifecycle Specialization,Software Development,4862,2678,55.080213903743314
COR0250,Autodesk CAD/CAM/CAE for Mechanical Engineering Specialization,Mechanical Engineering,1427,1367,95.79537491240364
COR0251,Design of Experiments Specialization,Probability and Statistics,4358,4105,94.19458467186783
COR0252,Creativity and AI Specialization,Design and Product,3335,2493,74.75262368815592
COR0253,Strategic Management and Innovation Specialization,Business Strategy,119,76,63.86554621848739
COR0254,"Hotel Management: Distribution, Revenue and Demand Management Specialization",Leadership and Management,1604,884,55.11221945137157
COR0255,Introduction to Business Specialization,Business Essentials,3044,1527,50.16425755584757
COR0256,Entrepreneurial Finance: Strategy and Innovation Specialization,Entrepreneurship,3793,3704,97.65357237015554
COR0257,Learning Linux for LFCA Certification Specialization,Software Development,1326,1274,96.07843137254902
COR0258,Getting started with Google Workspace Specialization,Cloud Computing,388,196,50.51546391752577
COR0259,First Principles of Computer Vision Specialization,Algorithms,4054,2841,70.07893438579181
COR0260,Machine Learning and Reinforcement Learning in Finance Specialization,Machine Learning,2660,1533,57.631578947368425
COR0261,"Negotiation, Mediation and Conflict Resolution Specialization",Leadership and Management,1627,1209,74.30854333128457
COR0262,Fundamentals of Computing Specialization,Software Development,3294,2276,69.09532483302975
COR0263,Executive Data Science Specialization,Data Analysis,3410,2943,86.3049853372434
COR0264,Django for Everybody Specialization,Mobile and Web Development,4696,3460,73.67972742759795
COR0265,Social Media Marketing in Practice Specialization,Marketing,4473,2647,59.17728593784932
COR0266,Agile Leadership Specialization,Leadership and Management,2943,1843,62.62317363234794
COR0267,Palliative Care Always Specialization,Patient Care,143,119,83.21678321678321
COR0268,Fundamentals of Flight mechanics Specialization,Physics and Astronomy,3238,2094,64.66954910438542
COR0269,Leading: Human Resource Management and Leadership Specialization,Leadership and Management,3757,3290,87.56986957679
COR0270,Data Warehousing for Business Intelligence Specialization,Data Analysis,4298,2508,58.35272219637041
COR0271,FinTech: Finance Industry Transformation and Regulation Specialization,Business Strategy,1165,676,58.02575107296137
COR0272,Digital Signal Processing Specialization,Electrical Engineering,1884,1746,92.67515923566879
COR0273,Data Science: Statistics and Machine Learning Specialization,Data Analysis,2105,1955,92.87410926365796
COR0274,"Introduction to Biology: Ecology, Evolution, & Biodiversity Specialization",Environmental Science and Sustainability,2739,1808,66.00949251551661
COR0275,Introduction to Financial Accounting: The Accounting Cycle Specialization,Finance,4828,2831,58.63711681855841
COR0276,Good with Words: Speaking and Presenting Specialization,Personal Development,2506,1942,77.49401436552274
COR0277,Fundamentals of Immunology Specialization,Basic Science,4995,3514,70.35035035035035
COR0278,Gender Analytics: Gender Equity through Inclusive Design Specialization,Leadership and Management,3860,3137,81.26943005181347
COR0279,Data Science Foundations: Statistical Inference Specialization,Probability and Statistics,2559,1632,63.77491207502931
COR0280,Real-World Engineering Management Specialization,Leadership and Management,3541,2174,61.39508613386049
COR0281,Hands-on Internet of Things Specialization,Computer Security and Networks,197,122,61.92893401015228
COR0282,International Business Essentials Specialization,Business Essentials,792,582,73.48484848484848
COR0283,Qualitative Research Design and Methods for Public Health Specialization,Public Health,4289,2152,50.174865936115644
COR0284,"Organizational Leadership in Diversity, Equity & Inclusion Specialization",Leadership and Management,324,195,60.18518518518518
COR0285,Survey Data Collection and Analytics  Specialization,Data Analysis,3497,1881,53.78896196740063
COR0286,The Fundamentals of Personal Finance Specialization,Business Essentials,2716,2703,99.52135493372607
COR0287,Financial Reporting Specialization,Business Essentials,396,330,83.33333333333334
COR0288,Salesforce Fundamentals Specialization,Business Essentials,2131,1558,73.11121539183482
COR0289,Advanced Statistics for Data Science Specialization,Math and Logic,2406,1923,79.92518703241896
COR0290,How to Start Your Own Business Specialization,Entrepreneurship,384,239,62.239583333333336
COR0291,Patient Safety Specialization,Patient Care,3555,3309,93.08016877637131
COR0292,Uncommon Sense Teaching Specialization,Education,4685,2929,62.51867662753469
COR0293,Advanced Business Analytics Specialization,Business Essentials,1922,1652,85.95213319458897
COR0294,Digital Fashion Innovation Specialization,Business Strategy,4695,3958,84.3024494142705
COR0295,Competitive Strategy and Organization Design Specialization,Business Strategy,4619,3137,67.91513314570253
COR0296,Computer Security and Systems Management Specialization,Security,3552,2549,71.76238738738738
COR0297,Business English for Non-Native Speakers Specialization,Business Essentials,504,366,72.61904761904762
COR0298,Cloud Computing Law Specialization,Law,1855,1810,97.57412398921834
COR0299,"Project Management: Tools, Approaches, Behavioural Skills  Specialization",Leadership and Management,264,173,65.53030303030303
COR0300,Optical Engineering Specialization,Electrical Engineering,1845,1517,82.22222222222221
COR0301,Android App Development Specialization,Mobile and Web Development,2588,2092,80.83462132921174
COR0302,Introduction to Public Relations and the Media Specialization,Marketing,1203,929,77.2236076475478
COR0303,Cloud-Native Development with OpenShift and Kubernetes Specialization,Cloud Computing,664,533,80.2710843373494
COR0304,Developing Your Musicianship Specialization,Music and Art,1950,1477,75.74358974358975
COR0305,Innovation: From Creativity to Entrepreneurship Specialization,Leadership and Management,4089,3579,87.52751283932501
COR0306,C++ Programming for Unreal Game Development Specialization,Software Development,607,464,76.44151565074135
COR0307,Mathematics for Engineers Specialization,Math and Logic,4224,3567,84.44602272727273
COR0308,Marketing Mix Implementation Specialization,Marketing,4181,2363,56.51757952642909
COR0309,TensorFlow: Data and Deployment Specialization,Machine Learning,828,474,57.2463768115942
COR0310,Content Strategy for Professionals Specialization,Marketing,2507,2291,91.3841244515357
COR0311,Digital Marketing Strategy and Planning Specialization,Marketing,2507,2003,79.89629038691663
COR0312,Organizational Change and Culture for Adopting Google Cloud Specialization,Cloud Computing,3426,1793,52.335084646818444
COR0313,Foundations of Global Health Specialization,Public Health,3167,2734,86.32775497316072
COR0314,Essentials of Corporate Finance Specialization,Finance,2770,2372,85.63176895306859
COR0315,Python for Cybersecurity Specialization,Security,3582,2166,60.46901172529313
COR0316,Object Oriented Java Programming: Data Structures and Beyond Specialization,Software Development,2750,2672,97.16363636363636
COR0317,Integrative Nursing Specialization,Patient Care,3600,3465,96.25
COR0318,Accounting Data Analytics Specialization,Data Analysis,3248,3069,94.48891625615764
COR0319,Habilidades Gerenciales  Specialization,Personal Development,4148,3567,85.99324975891996
COR0320,Become a Journalist: Report the News! Specialization,Music and Art,4100,3572,87.1219512195122
COR0321,Introduction to Electricity and Magnetism Specialization,Physics and Astronomy,4264,2865,67.19043151969981
COR0322,Modern Big Data Analysis with SQL Specialization,Data Analysis,1372,895,65.2332361516035
COR0323,Clinical Data Science Specialization,Data Analysis,4401,2585,58.73665076119063
COR0324,Diseño y Gestión de Proyectos de Desarrollo Specialization,Governance and Society,3861,2102,54.441854441854446
COR0325,Memoir and Personal Essay: Write About Yourself Specialization,Music and Art,4080,3633,89.04411764705881
COR0326,Improving Leadership & Governance in Nonprofit Organizations Specialization,Leadership and Management,307,211,68.72964169381108
COR0327,Game Design and Development with Unity 2020 Specialization,Software Development,4238,2294,54.12930627654554
COR0328,Health Information Literacy for Data Analytics Specialization,Health Informatics,1144,600,52.44755244755245
