CourseID,title,short_intro,category,total_enrollments,completion_rate,total_completions,skills
COR0041,Microsoft 365 Fundamentals Specialization,His air account international. Exist individual with others far.,Business Essentials,3265,0.5298621745788668,1730,"['Software Development', 'Excel', 'Agile Development']"
COR0042,Search Engine Optimization (SEO) Specialization,Speech even in Mrs wait television. Thank argue condition this will then.,Marketing,1736,0.5046082949308756,876,"['Data Analysis', 'Problem Solving', 'Excel']"
COR0043,AI Product Management Specialization,Structure yard management happy according entire office buy.,Machine Learning,2331,0.6537966537966537,1524,"['Communication', 'Python', 'Agile Development']"
COR0044,Introduction to Programming with Python and Java Specialization,Hold size city different where however. Size impact pretty play.,Software Development,3821,0.6992933786966763,2672,"['Communication', 'Software Development', 'Problem Solving', 'Critical Thinking']"
COR0045,Construction Management Specialization,Always word left movement support economic party.,Leadership and Management,2887,0.5784551437478351,1670,"['Creativity', 'Problem Solving', 'Financial Modeling', 'Python']"
COR0046,IBM Introduction to Machine Learning Specialization,Agent other inside present base wait.,Data Analysis,2772,0.5054112554112554,1401,"['Communication', 'Collaboration']"
COR0047,Data Analysis and Presentation Skills: the PwC Approach Specialization,Source parent mission she gas consumer. Table itself speech add support.,Business Essentials,3820,0.7740837696335079,2957,"['Communication', 'Software Development']"
COR0048,AWS Fundamentals Specialization,Police she physical entire mission. Care region different eye action cultural.,Cloud Computing,3756,0.7247071352502662,2722,"['Software Development', 'Financial Modeling']"
COR0049,Data Science: Foundations using R Specialization,Finally law base make citizen cover store. Before price officer help admit.,Data Analysis,3089,0.5205568145030754,1608,"['Problem Solving', 'Data Analysis']"
COR0050,Python 3 Programming Specialization,Shoulder term him person try firm.,Software Development,2360,0.902542372881356,2130,"['Creativity', 'Python', 'Software Development', 'Project Management']"
COR0051,Reinforcement Learning Specialization,Response understand control everything easy.,Machine Learning,1440,0.9229166666666668,1329,"['Financial Modeling', 'Critical Thinking', 'Data Analysis']"
COR0052,Accelerated Computer Science Fundamentals Specialization,Me material research safe word center. Strategy body war small when consumer magazine save.,Algorithms,693,0.7878787878787878,546,"['Creativity', 'Collaboration']"
COR0053,Digital Marketing Specialization,Wide somebody offer sure foot. Agree wait successful daughter toward until.,Marketing,2172,0.7808471454880295,1696,"['Python', 'Creativity', 'Collaboration']"
COR0054,DevOps on AWS Specialization,Store finally friend create.,Software Development,3016,0.6989389920424404,2108,"['Software Development', 'Data Analysis', 'Communication', 'Financial Modeling']"
COR0055,Generative Adversarial Networks (GANs) Specialization,You chance arm letter truth.,Machine Learning,3208,0.6209476309226932,1991,"['Financial Modeling', 'Collaboration', 'Communication', 'Agile Development']"
COR0056,Data Visualization with Tableau Specialization,Keep life general article clearly responsibility.,Data Analysis,317,0.6813880126182965,216,"['Excel', 'Creativity', 'Software Development', 'Problem Solving']"
COR0057,Certified in Cybersecurity Specialization,System lawyer not democratic throughout eight behind all.,Security,913,0.8751369112814896,799,"['Project Management', 'Financial Modeling']"
COR0058,Business Strategy Specialization,Vote should region happen. Near easy door interest firm.,Business Strategy,4472,0.9908318425760286,4431,"['Project Management', 'Problem Solving', 'Communication', 'Software Development']"
COR0059,Applied Data Science with Python Specialization,Statement determine remain prevent.,Data Analysis,779,0.5301668806161746,413,"['Critical Thinking', 'Collaboration', 'Creativity', 'Problem Solving']"
COR0060,Human Resource Management: HR for People Managers Specialization,Example beat reach. President finish hope sister serious.,Business Strategy,304,0.6414473684210527,195,"['Agile Development', 'Software Development']"
COR0061,Achieving Personal and Professional Success Specialization,Training its American treatment eight get continue second.,Personal Development,572,0.5821678321678322,333,"['Problem Solving', 'Financial Modeling', 'Excel', 'Software Development']"
COR0062,Regulatory Compliance Specialization,Growth mention fish stand majority.,Business Essentials,2328,0.5713058419243986,1330,"['Project Management', 'Software Development']"
COR0063,"TESOL Certificate, Part 1: Teach English Now! Specialization",Visit must company reach impact. Course up score military.,Learning English,4328,0.8197781885397413,3548,"['Financial Modeling', 'Python', 'Agile Development', 'Software Development']"
COR0064,Financial Engineering and Risk Management Specialization,Be reason simply. Discover detail song spring rather once.,Finance,4801,0.5471776713184753,2627,"['Collaboration', 'Excel', 'Critical Thinking']"
COR0065,UI / UX Design Specialization,Every now mouth put walk station executive.,Music and Art,1853,0.5677280086346466,1052,"['Excel', 'Collaboration', 'Agile Development', 'Software Development']"
COR0066,"Product Ideation, Design, and Management Specialization",Reach smile not.,Marketing,2859,0.5578873732074152,1595,"['Python', 'Excel', 'Financial Modeling']"
COR0067,Financial Analysis - Skills for Success Specialization,One how man. Paper pay region big teacher.,Finance,899,0.7196885428253615,647,"['Critical Thinking', 'Software Development', 'Communication']"
COR0068,Creative Writing Specialization,Wall night consumer air operation age production act.,Music and Art,3252,0.6749692496924969,2195,"['Excel', 'Project Management']"
COR0069,Data Structures and Algorithms Specialization,Blood crime window star. Election true there college green step necessary.,Algorithms,4683,0.7461029254751228,3494,"['Problem Solving', 'Communication', 'Python']"
COR0070,Software Product Management Specialization,Might lose maintain state support left. Expect interesting offer first.,Design and Product,1280,0.91171875,1167,"['Excel', 'Financial Modeling', 'Software Development']"
COR0071,Foundations of Management Specialization,During everybody son.,Leadership and Management,1893,0.8943475964078182,1693,"['Excel', 'Problem Solving']"
COR0072,Genomic Data Science Specialization,Eat right thing source any from study. Day whole suggest pass.,Data Analysis,3265,0.7372128637059724,2407,"['Software Development', 'Collaboration']"
COR0073,Methods and Statistics in Social Sciences Specialization,Capital street find million.,Governance and Society,3617,0.9516173624550732,3442,"['Software Development', 'Collaboration', 'Financial Modeling']"
COR0074,"NoSQL, Big Data, and Spark Foundations Specialization",New relate nearly put back window investment. Explain listen plant degree support sound.,Data Management,2638,0.5375284306292646,1418,"['Critical Thinking', 'Collaboration']"
COR0075,Think like a CFO Specialization,Lay with appear give. Begin never former finish alone new product.,Finance,2878,0.7890896455872134,2271,"['Software Development', 'Financial Modeling', 'Python']"
COR0076,TensorFlow: Advanced Techniques Specialization,Generation account professor common sort move.,Machine Learning,815,0.9558282208588956,779,"['Python', 'Financial Modeling', 'Data Analysis', 'Agile Development']"
COR0077,"Data Engineering, Big Data, and Machine Learning on GCP Specialization",Hard tax product give what here. Lawyer both particular Republican stay himself role realize.,Machine Learning,3650,0.5123287671232877,1870,"['Project Management', 'Communication', 'Data Analysis', 'Python']"
COR0078,Mathematics for Machine Learning Specialization,Nice ten his. Test surface still suffer adult provide.,Machine Learning,955,0.9287958115183246,887,"['Problem Solving', 'Python']"
COR0079,Modern and Contemporary Art and Design Specialization,What front doctor who cell soon.,Music and Art,426,0.8309859154929577,354,"['Communication', 'Financial Modeling']"
COR0080,Agile Development Specialization,Draw skill company national area.,Design and Product,3324,0.5613718411552346,1866,"['Excel', 'Collaboration']"
COR0081,Career Success Specialization,It score rather remain even. Blood keep drive agree strong benefit ask.,Business Essentials,2244,0.5120320855614974,1149,"['Agile Development', 'Communication', 'Data Analysis', 'Collaboration']"
COR0082,U.S. Federal Taxation Specialization,President tonight dinner current less measure.,Business Essentials,2588,0.9578825347758888,2479,"['Agile Development', 'Project Management', 'Communication', 'Critical Thinking']"
COR0083,The Business of Music Production Specialization,Soon until serve today treatment camera tough.,Music and Art,4011,0.5337820992271254,2141,"['Creativity', 'Critical Thinking', 'Software Development']"
COR0084,The Business of Health Care Specialization,Spring attorney spend hit opportunity. Task there walk nice rich event character.,Healthcare Management,2161,0.9097639981490052,1966,"['Data Analysis', 'Critical Thinking']"
COR0085,Practical Data Science on the AWS Cloud Specialization,Because strategy attorney note matter say cut. Opportunity other rest someone change.,Machine Learning,3161,0.5890540968048086,1862,"['Python', 'Communication', 'Collaboration', 'Financial Modeling']"
COR0086,Risk Management Specialization,Phone government section mother face world.,Finance,197,0.6649746192893401,131,"['Data Analysis', 'Software Development', 'Problem Solving']"
COR0087,Music Production Specialization,Police fund agency.,Music and Art,2896,0.7506906077348067,2174,"['Excel', 'Critical Thinking']"
COR0088,Google Cloud Database Engineer Specialization,Type wrong she themselves need.,Cloud Computing,935,0.5336898395721925,499,"['Excel', 'Project Management', 'Creativity', 'Financial Modeling']"
COR0089,Architecting with Google Compute Engine Specialization,Wait find level. Road leader especially establish.,Cloud Computing,3372,0.5634638196915777,1899,"['Problem Solving', 'Communication', 'Python']"
COR0090,Global Procurement and Sourcing Specialization,Story push note few where. News if buy say enough theory read.,Leadership and Management,3178,0.868785399622404,2761,"['Excel', 'Collaboration', 'Problem Solving', 'Project Management']"
COR0091,Entrepreneurship: Growing Your Business Specialization,Government over street rise. Heart those weight government high only.,Business Strategy,141,0.5531914893617021,78,"['Project Management', 'Critical Thinking', 'Software Development']"
COR0092,Six Sigma Yellow Belt Specialization,Operation cause behavior choice special to their.,Leadership and Management,4684,0.6912894961571306,3238,"['Software Development', 'Excel', 'Collaboration']"
COR0093,The DIY Musician Specialization,Huge Mrs individual point tend somebody never race. Even go cause seek.,Music and Art,2778,0.7537796976241901,2094,"['Collaboration', 'Python']"
COR0094,Algorithms Specialization,Seem partner skill remember maybe. Person use forget both.,Algorithms,1458,0.930727023319616,1357,"['Agile Development', 'Python']"
COR0095,"Influencing: Storytelling, Change Management and Governance Specialization",Management whose although growth.,Leadership and Management,3052,0.5294888597640891,1616,"['Agile Development', 'Excel', 'Software Development']"
COR0096,Applied Data Science with R Specialization,Book home forward mind voice between lot.,Data Analysis,4616,0.6260831889081456,2890,"['Financial Modeling', 'Critical Thinking', 'Software Development', 'Problem Solving']"
COR0097,Geographic Information Systems  (GIS) Specialization,Particularly course of bed.,Data Analysis,2299,0.8829926054806437,2030,"['Collaboration', 'Creativity', 'Project Management']"
COR0098,Decentralized Finance (DeFi): The Future of Finance Specialization,How traditional senior field. Try concern first particularly five.,Finance,4170,0.5134292565947243,2141,"['Python', 'Software Development', 'Project Management']"
COR0099,Project Management & Other Tools for Career Development Specialization,Doctor much whose choose.,Business Essentials,4607,0.5131321901454309,2364,"['Communication', 'Data Analysis']"
COR0100,Project Management Principles and Practices Specialization,Cut either focus out focus day. Exactly simply right sometimes on show.,Business Essentials,259,0.5637065637065637,146,"['Collaboration', 'Excel', 'Project Management']"
COR0101,Java Programming and Software Engineering Fundamentals Specialization,Line long third doctor. Mean term worry describe.,Software Development,861,0.8315911730545877,716,"['Problem Solving', 'Critical Thinking']"
COR0102,MATLAB Programming for Engineers and Scientists Specialization,Early industry painting late government be effect. Garden section front area professional decide you.,Software Development,121,0.9338842975206612,113,"['Problem Solving', 'Agile Development', 'Project Management', 'Collaboration']"
COR0103,Design Thinking Specialization,Need beat wear chair many feeling. During force tax threat success institution inside.,Leadership and Management,1212,0.943069306930693,1143,"['Creativity', 'Python']"
COR0104,Architecting with Google Kubernetes Engine Specialization,So drug drive matter assume whatever company. Second above local lose result field sometimes.,Cloud Computing,690,0.7144927536231884,493,"['Excel', 'Financial Modeling', 'Communication']"
COR0105,Security in Google Cloud Specialization,Meet statement deep require role know.,Security,3237,0.8683966635773864,2811,"['Communication', 'Collaboration', 'Agile Development']"
COR0106,Leading People and Teams Specialization,Building heart policy city business thousand. Job character concern light much maybe.,Leadership and Management,1574,0.9561626429479034,1505,"['Excel', 'Communication', 'Problem Solving']"
COR0107,Coding for Everyone: C and C++ Specialization,He success left their design. Candidate whose half affect account still.,Software Development,4524,0.8220601237842617,3719,"['Software Development', 'Agile Development', 'Data Analysis', 'Excel']"
COR0108,Developing Applications with Google Cloud Specialization,Drop bad our key plant act hotel up. When market time guy.,Software Development,3572,0.9182530795072787,3280,"['Creativity', 'Problem Solving', 'Collaboration', 'Critical Thinking']"
COR0109,Real-World Product Management Specialization,Couple case difficult customer significant spring sing. You admit rise manager tend.,Design and Product,1295,0.7567567567567568,980,"['Creativity', 'Data Analysis', 'Project Management', 'Critical Thinking']"
COR0110,Pricing Strategy Optimization Specialization,Material listen culture occur. Life reveal soon build tree.,Marketing,2073,0.8234442836468886,1707,"['Software Development', 'Communication', 'Agile Development']"
COR0111,Networking in Google Cloud Specialization,Anyone policy eight high. Who like simply.,Networking,2615,0.681453154875717,1782,"['Software Development', 'Critical Thinking']"
COR0112,Academic English: Writing Specialization,Late future because have. Report your person recognize.,Education,4146,0.527255185721177,2186,"['Communication', 'Excel', 'Creativity', 'Python']"
COR0113,Introduction to Cyber Security Specialization,Dog career trade meeting.,Computer Security and Networks,2044,0.8321917808219178,1701,"['Python', 'Agile Development']"
COR0114,Business Data Management and Communication Specialization,Travel single nearly small.,Data Analysis,1012,0.8824110671936759,893,"['Agile Development', 'Communication', 'Data Analysis']"
COR0115,Intellectual Property Law Specialization,Energy best church key door. Music mouth guess positive purpose.,Business Strategy,3947,0.9072713453255636,3581,"['Python', 'Critical Thinking', 'Data Analysis', 'Financial Modeling']"
COR0116,The Singer Songwriter Specialization,Security forget rather.,Music and Art,185,0.9837837837837838,182,"['Agile Development', 'Project Management', 'Problem Solving', 'Financial Modeling']"
COR0117,AI for Medicine Specialization,Oil shake place two.,Machine Learning,2338,0.632164242942686,1478,"['Critical Thinking', 'Excel', 'Communication']"
COR0118,Mergers and Acquisitions  Specialization,Yourself two go. Significant television network.,Finance,682,0.6451612903225806,440,"['Software Development', 'Problem Solving', 'Excel', 'Python']"
COR0119,Dynamic Public Speaking Specialization,Drug kind animal ahead expert girl my spring. Build employee everything purpose month quite.,Personal Development,3854,0.5316554229372081,2049,"['Excel', 'Critical Thinking', 'Agile Development', 'Project Management']"
COR0120,Supply Chain Analytics Specialization,Nature rest nice home win a.,Business Essentials,3164,0.7737041719342604,2448,"['Communication', 'Software Development', 'Python']"
COR0121,Six Sigma Black Belt Specialization,Space two everybody lead when both.,Leadership and Management,2587,0.7386934673366834,1911,"['Problem Solving', 'Agile Development', 'Collaboration']"
COR0122,Strategic Leadership and Management Specialization,Yes own western wait write. Ten mean card stop attention system win.,Leadership and Management,3293,0.933191618584877,3073,"['Data Analysis', 'Project Management']"
COR0123,Music Education for Teachers Specialization,Whether Congress stand. Support involve glass step TV box director.,Education,2492,0.9875601926163724,2461,"['Creativity', 'Collaboration', 'Software Development']"
COR0124,Project Management Specialization,Home improve hold wrong standard. Stage newspaper detail.,Leadership and Management,3288,0.7673357664233577,2523,"['Project Management', 'Software Development', 'Communication']"
COR0125,User Experience Research and Design Specialization,List positive fact nor activity too.,Design and Product,4896,0.6897467320261438,3377,"['Collaboration', 'Communication']"
COR0126,Good with Words: Writing and Editing Specialization,Camera nor up off pretty act prove.,Personal Development,4720,0.7758474576271186,3662,"['Data Analysis', 'Excel', 'Software Development']"
COR0127,Drug Development Product Management Specialization,Bit maintain stand recently since practice dream. Then sea sister watch turn.,Healthcare Management,3699,0.7748040010813734,2866,"['Data Analysis', 'Excel', 'Problem Solving']"
COR0128,Excel Skills for Data Analytics and Visualization Specialization,Wear technology specific drop traditional peace. Space last statement have.,Business Essentials,1769,0.9768230638778972,1728,"['Critical Thinking', 'Problem Solving', 'Project Management', 'Communication']"
COR0129,"Food Sustainability, Mindful Eating, and Healthy Cooking Specialization",Three the front.,Nutrition,4708,0.657391673746814,3095,"['Project Management', 'Problem Solving']"
COR0130,Web Design for Everybody: Basics of Web Development & Coding Specialization,Loss join line property financial authority think size. Experience design yes management human.,Mobile and Web Development,932,0.5504291845493562,513,"['Financial Modeling', 'Creativity', 'Collaboration']"
COR0131,Microsoft Azure Fundamentals AZ-900 Exam Prep Specialization,To woman military teach. Color peace us southern ask program quickly.,Software Development,1184,0.6097972972972973,722,"['Collaboration', 'Problem Solving', 'Communication', 'Software Development']"
COR0132,Business Value and Project Management Specialization,By real must recent officer produce.,Leadership and Management,4875,0.9431794871794872,4598,"['Data Analysis', 'Software Development', 'Collaboration', 'Project Management']"
COR0133,Clinical Trials Operations Specialization,Hour down art measure news develop explain.,Public Health,1418,0.7002820874471086,993,"['Critical Thinking', 'Agile Development']"
COR0134,Investment Management with Python and Machine Learning Specialization,Offer mind writer current. Sometimes dinner discover would address to.,Finance,2963,0.6169422882213972,1827,"['Collaboration', 'Creativity']"
COR0135,Data Analysis with R Specialization,Whom middle wall available job never.,Data Analysis,2718,0.8101545253863135,2202,"['Communication', 'Python', 'Problem Solving']"
COR0136,Excel to MySQL: Analytic Techniques for Business Specialization,Anyone sit team effect lot with employee.,Business Essentials,540,0.6055555555555555,327,"['Collaboration', 'Creativity', 'Financial Modeling']"
COR0137,Bayesian Statistics Specialization,Save with blood.,Probability and Statistics,118,0.6610169491525424,78,"['Agile Development', 'Data Analysis']"
COR0138,Data Science Foundations: Data Structures and Algorithms Specialization,Indeed financial yet.,Algorithms,497,0.6458752515090543,321,"['Communication', 'Python']"
COR0139,Biostatistics in Public Health  Specialization,Doctor significant ground cut everybody stay sign price. Campaign street difficult charge safe degree hit by.,Public Health,3873,0.675445391169636,2616,"['Excel', 'Collaboration', 'Project Management']"
COR0140,Algorithms for Battery Management Systems Specialization,Head especially throughout magazine why local sell. Need cell girl grow budget send.,Electrical Engineering,3599,0.972770213948319,3501,"['Python', 'Problem Solving', 'Communication']"
COR0141,"Effective Communication: Writing, Design, and Presentation Specialization",Offer dog professor hotel.,Business Essentials,2987,0.7107465684633412,2123,"['Excel', 'Financial Modeling', 'Creativity']"
COR0142,Financial Management Specialization,Reduce week return PM even. Continue science onto off everything our coach.,Finance,555,0.6954954954954955,386,"['Project Management', 'Agile Development', 'Collaboration', 'Critical Thinking']"
COR0143,Game Design: Art and Concepts Specialization,Agree physical beat happen thousand herself major. Past present between garden more soldier present.,Music and Art,4539,0.5159726812073144,2342,"['Data Analysis', 'Project Management', 'Critical Thinking']"
COR0144,Neuroscience and Neuroimaging Specialization,Especially identify sea series time apply.,Data Analysis,4832,0.5809188741721855,2807,"['Data Analysis', 'Critical Thinking', 'Software Development']"
COR0145,Electronic Music Production Specialization,Road drop southern market hand. Example year together little.,Music and Art,3361,0.8860458196965189,2978,"['Critical Thinking', 'Python', 'Software Development']"
COR0146,Branding: The Creative Journey Specialization,Pay wear possible.,Business Strategy,3612,0.8593576965669989,3104,"['Critical Thinking', 'Problem Solving']"
COR0147,Six Sigma Green Belt Specialization,Occur campaign allow nature send. Artist race still yeah cold real system.,Business Essentials,734,0.952316076294278,699,"['Creativity', 'Problem Solving', 'Excel']"
COR0148,Excel/VBA for Creative Problem Solving Specialization,Third I ready form leg prove.,Design and Product,3540,0.5858757062146893,2074,"['Collaboration', 'Financial Modeling', 'Project Management', 'Problem Solving']"
COR0149,Business Statistics and Analysis Specialization,Word along order recognize. Quickly letter back say.,Probability and Statistics,2521,0.6386354621182071,1610,"['Communication', 'Data Analysis']"
COR0150,People and Soft Skills for Professional and Personal Success Specialization,Site scene law station subject. Occur customer performance themselves word responsibility.,Personal Development,226,0.7123893805309734,161,"['Problem Solving', 'Agile Development', 'Financial Modeling']"
COR0151,"Songwriting: Writing, Arranging, and Producing Music Specialization",Just bed team rock subject hotel. That treatment beyond never.,Music and Art,4090,0.5264058679706601,2153,"['Agile Development', 'Creativity', 'Problem Solving']"
COR0152,Culture-Driven Team Building Specialization,Always available read raise.,Business Essentials,231,0.8787878787878788,203,"['Excel', 'Software Development']"
COR0153,Investment Management Specialization,Risk pay trip thus. Us beat present trouble not present.,Finance,1418,0.8251057827926658,1170,"['Python', 'Excel']"
COR0154,Object Oriented Programming in Java Specialization,Sell floor learn back born case. Probably public drug commercial western soon.,Software Development,4134,0.7477019835510401,3091,"['Critical Thinking', 'Data Analysis']"
COR0155,Fundamentals of Accounting  Specialization,Administration thousand big several mention step turn. Loss radio red happy partner point question popular.,Business Essentials,3695,0.8887686062246278,3284,"['Creativity', 'Excel', 'Communication', 'Software Development']"
COR0156,Databases for Data Scientists Specialization,Market medical game for stand start.,Data Management,4082,0.8233708966193043,3361,"['Project Management', 'Software Development', 'Agile Development', 'Excel']"
COR0157,PostgreSQL for Everybody Specialization,Book media imagine place through.,Mobile and Web Development,909,0.7755775577557755,705,"['Python', 'Financial Modeling', 'Creativity', 'Collaboration']"
COR0158,Medical Terminology Specialization,Yourself exactly think need whether challenge admit star.,Basic Science,4019,0.6429460064692709,2584,"['Agile Development', 'Collaboration', 'Creativity', 'Communication']"
COR0159,Advanced Data Science with IBM Specialization,Positive against far white.,Machine Learning,4786,0.7799832845800251,3733,"['Communication', 'Financial Modeling', 'Collaboration']"
COR0160,Probabilistic Graphical Models  Specialization,Pressure six never actually talk. Material than realize cut there bag often these.,Machine Learning,1077,0.6889507892293407,742,"['Collaboration', 'Creativity', 'Problem Solving', 'Agile Development']"
COR0161,FPGA Design for Embedded Systems Specialization,Institution half right let garden weight.,Electrical Engineering,959,0.848800834202294,814,"['Project Management', 'Critical Thinking']"
COR0162,School Health for Children and Adolescents Specialization,Help power might sign player language public.,Patient Care,2621,0.5555131629149179,1455,"['Creativity', 'Critical Thinking', 'Collaboration', 'Python']"
